leave_id,spell_id,leave_start,leave_end
LV00559,SPL03707,2024-04-28,2024-06-11
LV00560,SPL03712,2024-01-30,2024-04-21
LV00561,SPL03713,2024-02-09,2024-04-18
LV00562,SPL03749,2024-02-14,2024-05-13
LV00563,SPL03753,2024-06-22,2024-07-23
LV00564,SPL03759,2024-06-30,2024-08-23
LV00565,SPL03777,2023-12-25,2024-02-11
LV00566,SPL03787,2023-04-24,2023-06-05
LV00567,SPL03788,2023-03-01,2023-05-07
LV00568,SPL03791,2024-03-10,2024-06-30
LV00569,SPL03799,2024-01-26,2024-03-09
LV00570,SPL03804,2021-04-27,2021-05-21
LV00571,SPL03825,2023-11-09,2024-02-17
LV00572,SPL03840,2024-06-17,2024-09-03
LV00573,SPL03842,2024-05-26,2024-08-16
LV00574,SPL03848,2021-12-11,2022-03-23
LV00575,SPL03849,2023-09-27,2024-01-24
LV00576,SPL03853,2024-01-24,2024-02-29
LV00577,SPL03855,2024-01-08,2024-02-17
LV00578,SPL03862,2021-12-12,2022-03-23
LV00579,SPL03863,2024-06-29,2024-10-23
LV00580,SPL03890,2023-10-26,2024-02-02
LV00581,SPL03891,2022-04-23,2022-07-04
LV00582,SPL03892,2021-12-16,2022-01-17
LV00583,SPL03897,2024-05-11,2024-07-22
LV00584,SPL03900,2023-06-03,2023-09-05
LV00585,SPL03902,2022-07-06,2022-08-31
LV00586,SPL03913,2024-06-30,2024-09-17
LV00587,SPL03915,2023-06-26,2023-08-23
LV00588,SPL03919,2024-03-04,2024-04-10
LV00589,SPL03939,2022-10-06,2023-02-01
LV00590,SPL03950,2023-06-25,2023-10-02
LV00591,SPL03957,2023-09-06,2024-01-04
LV00592,SPL03960,2024-04-09,2024-05-24
LV00593,SPL03973,2024-05-16,2024-07-12
LV00594,SPL03980,2024-01-11,2024-03-30
LV00595,SPL03982,2023-12-30,2024-03-25
LV00596,SPL03986,2023-09-11,2023-11-03
LV00597,SPL03993,2022-10-24,2022-12-31
LV00598,SPL03993,2023-09-29,2023-12-11
LV00599,SPL03996,2023-12-01,2024-01-30
LV00600,SPL04008,2022-12-01,2023-02-17
LV00601,SPL04010,2022-07-03,2022-08-15
LV00602,SPL04019,2024-03-21,2024-07-14
LV00603,SPL04034,2019-11-13,2020-01-18
LV00604,SPL04034,2022-11-10,2023-01-23
LV00605,SPL04037,2021-06-27,2021-08-26
LV00606,SPL04038,2021-01-17,2021-05-10
LV00607,SPL04038,2022-01-05,2022-02-03
LV00608,SPL04043,2022-11-05,2022-12-20
LV00609,SPL04055,2024-06-05,2024-09-04
LV00610,SPL04074,2022-09-07,2022-10-04
LV00611,SPL04075,2022-07-22,2022-08-26
LV00612,SPL04078,2023-09-23,2023-12-09
LV00613,SPL04081,2023-09-06,2023-11-13
LV00614,SPL04091,2023-11-03,2024-01-02
LV00615,SPL04097,2022-08-03,2022-09-29
LV00616,SPL04099,2023-03-14,2023-04-15
LV00617,SPL04100,2023-11-28,2024-03-04
LV00618,SPL04114,2023-12-06,2024-01-09
LV00619,SPL04117,2024-06-20,2024-08-04
LV00620,SPL04126,2020-03-01,2020-05-10
LV00621,SPL04129,2020-02-29,2020-03-29
LV00622,SPL04156,2024-06-29,2024-09-21
LV00623,SPL04159,2021-06-13,2021-08-31
LV00624,SPL04166,2023-12-21,2024-03-30
LV00625,SPL04170,2024-02-03,2024-04-14
LV00626,SPL04172,2020-03-03,2020-06-17
LV00627,SPL04190,2022-09-01,2022-09-30
LV00628,SPL04202,2024-04-07,2024-05-14
LV00629,SPL04202,2024-05-19,2024-07-27
LV00630,SPL04205,2024-06-16,2024-07-20
LV00631,SPL04207,2021-10-03,2022-01-04
LV00632,SPL04213,2022-01-31,2022-03-12
LV00633,SPL04213,2022-10-02,2022-11-15
LV00634,SPL04218,2023-04-09,2023-06-27
LV00635,SPL04229,2024-06-04,2024-09-25
LV00636,SPL04231,2024-06-24,2024-09-07
LV00637,SPL04249,2024-01-26,2024-04-09
LV00638,SPL04249,2024-06-12,2024-08-07
LV00639,SPL04261,2023-10-28,2024-01-13
LV00640,SPL04262,2024-05-24,2024-07-06
LV00641,SPL04277,2023-04-19,2023-08-15
LV00642,SPL04278,2020-04-28,2020-07-29
LV00643,SPL04280,2024-05-17,2024-07-18
LV00644,SPL04282,2021-10-21,2021-11-25
LV00645,SPL04286,2022-10-07,2022-11-10
LV00646,SPL04291,2023-09-08,2023-11-18
LV00647,SPL04298,2021-05-21,2021-06-11
LV00648,SPL04324,2022-03-24,2022-05-18
LV00649,SPL04331,2020-05-17,2020-07-01
LV00650,SPL04339,2021-02-06,2021-04-15
LV00651,SPL04345,2022-05-01,2022-06-06
LV00652,SPL04351,2022-03-21,2022-07-12
LV00653,SPL04353,2023-05-05,2023-09-01
LV00654,SPL04353,2023-11-18,2024-01-05
LV00655,SPL04358,2024-05-13,2024-08-06
LV00656,SPL04359,2023-11-06,2024-01-29
LV00657,SPL04359,2024-04-12,2024-05-30
LV00658,SPL04365,2023-12-16,2024-02-12
LV00659,SPL04374,2024-05-28,2024-09-11
LV00660,SPL04382,2022-10-12,2022-11-05
LV00661,SPL04407,2023-05-28,2023-07-02
LV00662,SPL04408,2024-03-15,2024-07-13
LV00663,SPL04413,2023-11-28,2024-02-05
LV00664,SPL04418,2023-07-02,2023-10-28
LV00665,SPL04432,2021-01-04,2021-03-09
LV00666,SPL04432,2024-04-14,2024-08-10
LV00667,SPL04433,2022-03-13,2022-04-19
LV00668,SPL04446,2022-08-29,2022-10-01
LV00669,SPL04447,2024-02-02,2024-05-26
LV00670,SPL04448,2019-09-23,2019-11-24
LV00671,SPL04452,2023-08-11,2023-11-15
LV00672,SPL04455,2021-04-27,2021-08-15
LV00673,SPL04458,2023-12-15,2024-03-04
LV00674,SPL04462,2023-01-21,2023-05-21
LV00675,SPL04466,2024-06-03,2024-07-20
LV00676,SPL04477,2022-10-28,2022-12-26
LV00677,SPL04492,2021-11-10,2022-02-25
LV00678,SPL04495,2024-02-19,2024-04-02
LV00679,SPL04502,2023-03-09,2023-04-16
LV00680,SPL04503,2023-10-27,2024-01-02
LV00681,SPL04505,2022-05-13,2022-06-15
LV00682,SPL04518,2023-02-04,2023-06-01
LV00683,SPL04528,2022-07-14,2022-08-04
LV00684,SPL04533,2021-04-12,2021-07-24
LV00685,SPL04536,2020-12-31,2021-04-23
LV00686,SPL04544,2024-02-20,2024-04-22
LV00687,SPL04546,2024-06-13,2024-07-05
LV00688,SPL04547,2023-04-24,2023-05-17
LV00689,SPL04557,2024-06-28,2024-09-19
LV00690,SPL04570,2024-03-26,2024-07-14
LV00691,SPL04583,2024-06-05,2024-08-23
LV00692,SPL04595,2024-04-30,2024-07-06
LV00693,SPL04612,2023-07-28,2023-10-13
LV00694,SPL04617,2022-10-15,2022-12-25
LV00695,SPL04633,2022-05-01,2022-08-12
LV00696,SPL04638,2023-04-22,2023-08-17
LV00697,SPL04644,2022-11-07,2022-12-01
LV00698,SPL04644,2023-07-10,2023-09-06
LV00699,SPL04653,2021-04-22,2021-05-29
LV00700,SPL04704,2023-12-04,2024-02-13
LV00701,SPL04716,2024-06-16,2024-08-08
LV00702,SPL04731,2022-10-03,2023-01-25
LV00703,SPL04731,2024-02-23,2024-04-01
LV00704,SPL04734,2023-08-12,2023-10-20
LV00705,SPL04767,2022-03-10,2022-05-30
LV00706,SPL04778,2021-05-27,2021-07-31
LV00707,SPL04799,2022-05-03,2022-08-17
LV00708,SPL04818,2021-01-20,2021-04-28
LV00709,SPL04827,2022-08-28,2022-09-26
LV00710,SPL04827,2023-11-06,2023-12-13
LV00711,SPL04845,2023-11-05,2024-02-08
LV00712,SPL04850,2022-08-06,2022-09-16
LV00713,SPL04862,2024-06-22,2024-09-12
LV00714,SPL04870,2023-08-22,2023-10-06
LV00715,SPL04871,2024-06-18,2024-08-07
LV00716,SPL04884,2023-12-20,2024-04-07
LV00717,SPL04887,2024-06-29,2024-09-25
LV00718,SPL04896,2021-12-10,2022-02-15
LV00719,SPL04898,2023-11-28,2024-02-10
LV00720,SPL04899,2022-11-28,2023-01-15
LV00721,SPL04899,2023-02-04,2023-02-26
LV00722,SPL04901,2024-03-20,2024-05-02
LV00723,SPL04928,2022-04-05,2022-07-05
LV00724,SPL04929,2022-01-13,2022-04-08
LV00725,SPL04930,2023-01-11,2023-03-14
LV00726,SPL04938,2023-07-22,2023-11-09
LV00727,SPL04945,2024-04-01,2024-05-13
LV00728,SPL04952,2022-06-02,2022-09-28
LV00729,SPL04967,2024-01-23,2024-03-17
LV00730,SPL04978,2024-01-20,2024-02-17
LV00731,SPL04984,2023-03-30,2023-07-13
LV00732,SPL04984,2023-08-21,2023-12-06
LV00733,SPL04993,2021-04-12,2021-07-17
LV00734,SPL04993,2024-06-06,2024-07-08
LV00735,SPL05001,2023-11-04,2024-02-23
LV00736,SPL05007,2023-11-29,2024-03-02
LV00737,SPL05027,2024-06-30,2024-07-21
LV00738,SPL05028,2023-08-28,2023-10-05
LV00739,SPL05033,2024-05-18,2024-07-24
LV00740,SPL05039,2023-10-18,2024-02-02
LV00741,SPL05049,2020-07-04,2020-09-17
LV00742,SPL05067,2024-06-05,2024-07-13
LV00743,SPL05071,2021-03-23,2021-06-04
LV00744,SPL05075,2024-06-20,2024-07-17
LV00745,SPL05079,2024-06-29,2024-07-24
LV00746,SPL05081,2020-10-24,2021-02-13
LV00747,SPL05083,2021-05-06,2021-08-13
LV00748,SPL05088,2023-06-25,2023-09-04
LV00749,SPL05089,2024-05-11,2024-08-29
LV00750,SPL05095,2023-07-05,2023-09-20
LV00751,SPL05116,2021-05-07,2021-08-29
LV00752,SPL05122,2021-02-22,2021-06-03
LV00753,SPL05127,2021-01-07,2021-02-15
LV00754,SPL05130,2024-03-19,2024-05-23
LV00755,SPL05137,2024-05-28,2024-08-31
LV00756,SPL05142,2024-02-09,2024-05-07
LV00757,SPL05145,2023-03-08,2023-06-02
LV00758,SPL05146,2023-11-27,2024-01-12
LV00759,SPL05163,2022-05-15,2022-07-07
LV00760,SPL05166,2023-08-10,2023-09-04
LV00761,SPL05177,2021-03-10,2021-04-12
LV00762,SPL05188,2022-04-26,2022-06-25
LV00763,SPL05196,2023-04-19,2023-06-19
LV00764,SPL05200,2024-01-25,2024-02-17
LV00765,SPL05208,2023-12-05,2024-03-17
LV00766,SPL05208,2024-03-18,2024-04-18
LV00767,SPL05211,2020-10-23,2020-12-08
LV00768,SPL05213,2022-10-20,2023-01-07
LV00769,SPL05231,2022-07-14,2022-08-31
LV00770,SPL05241,2024-05-14,2024-08-05
LV00771,SPL05245,2022-01-20,2022-04-29
LV00772,SPL05257,2024-05-24,2024-09-09
LV00773,SPL05260,2022-07-31,2022-09-27
LV00774,SPL05264,2023-05-20,2023-07-31
LV00775,SPL05266,2022-06-11,2022-07-13
LV00776,SPL05267,2022-05-06,2022-07-07
LV00777,SPL05277,2023-12-22,2024-02-29
LV00778,SPL05281,2023-02-18,2023-03-29
LV00779,SPL05286,2023-09-18,2023-12-07
LV00780,SPL05291,2023-01-31,2023-03-18
LV00781,SPL05291,2024-02-15,2024-06-11
LV00782,SPL05292,2022-06-14,2022-09-11
LV00783,SPL05298,2023-03-11,2023-04-01
LV00784,SPL05303,2024-06-21,2024-07-31
LV00785,SPL05315,2022-08-20,2022-11-25
LV00786,SPL05334,2021-02-15,2021-03-09
LV00787,SPL05337,2021-02-27,2021-03-21
LV00788,SPL05342,2024-06-28,2024-07-30
LV00789,SPL05350,2024-05-22,2024-09-09
LV00790,SPL05353,2023-12-18,2024-01-14
LV00791,SPL05365,2023-08-04,2023-09-21
LV00792,SPL05366,2023-03-17,2023-05-05
LV00793,SPL05366,2023-11-28,2024-01-27
LV00794,SPL05373,2022-01-18,2022-05-13
LV00795,SPL05377,2024-03-09,2024-06-24
LV00796,SPL05393,2024-05-27,2024-08-11
LV00797,SPL05399,2023-11-19,2023-12-16
LV00798,SPL05402,2020-06-17,2020-10-02
LV00799,SPL05415,2021-02-01,2021-03-06
LV00800,SPL05446,2024-06-09,2024-07-22
LV00801,SPL05451,2024-06-29,2024-08-17
LV00802,SPL05461,2024-01-24,2024-04-28
LV00803,SPL05463,2024-03-28,2024-06-27
LV00804,SPL05464,2024-02-28,2024-05-11
LV00805,SPL05483,2023-04-06,2023-04-29
LV00806,SPL05485,2024-03-10,2024-04-29
LV00807,SPL05490,2023-07-31,2023-09-07
LV00808,SPL05505,2023-01-28,2023-02-26
LV00809,SPL05509,2024-01-30,2024-03-31
LV00810,SPL05511,2023-02-23,2023-04-23
LV00811,SPL05523,2024-05-25,2024-06-19
LV00812,SPL05525,2024-03-20,2024-07-14
LV00813,SPL05529,2023-12-17,2024-04-12
LV00814,SPL05530,2023-05-19,2023-07-04
LV00815,SPL05531,2024-04-01,2024-05-18
LV00816,SPL05532,2023-11-25,2024-02-05
LV00817,SPL05537,2021-05-05,2021-07-12
LV00818,SPL05538,2020-02-20,2020-04-10
LV00819,SPL05540,2022-05-01,2022-08-26
LV00820,SPL05547,2024-06-30,2024-07-22
LV00821,SPL05559,2022-07-27,2022-11-20
LV00822,SPL05569,2024-06-16,2024-09-19
LV00823,SPL05578,2022-12-30,2023-03-14
LV00824,SPL05584,2022-10-23,2022-12-09
LV00825,SPL05591,2023-09-04,2023-11-20
LV00826,SPL05596,2023-12-09,2023-12-29
LV00827,SPL05599,2023-07-15,2023-10-10
LV00828,SPL05602,2024-06-11,2024-09-08
LV00829,SPL05605,2022-12-01,2023-01-03
LV00830,SPL05618,2021-12-24,2022-03-29
LV00831,SPL05626,2022-04-17,2022-07-06
LV00832,SPL05631,2023-05-11,2023-06-15
LV00833,SPL05631,2023-09-23,2023-11-08
LV00834,SPL05636,2022-03-03,2022-06-16
LV00835,SPL05652,2021-04-22,2021-07-07
LV00836,SPL05654,2024-05-04,2024-07-16
LV00837,SPL05658,2024-05-25,2024-08-18
LV00838,SPL05661,2022-09-21,2022-12-21
LV00839,SPL05666,2024-05-26,2024-07-26
LV00840,SPL05709,2023-08-08,2023-09-03
LV00841,SPL05709,2024-05-13,2024-06-02
LV00842,SPL05711,2024-03-28,2024-06-22
LV00843,SPL05718,2024-01-01,2024-03-01
LV00844,SPL05727,2024-05-26,2024-09-16
LV00845,SPL05729,2023-03-13,2023-07-05
LV00846,SPL05732,2019-02-28,2019-04-04
LV00847,SPL05737,2024-01-15,2024-05-09
LV00848,SPL05737,2024-05-21,2024-07-11
LV00849,SPL05741,2024-04-26,2024-05-16
LV00850,SPL05741,2024-06-01,2024-07-11
LV00851,SPL05747,2023-11-25,2024-01-31
LV00852,SPL05751,2021-07-30,2021-10-08
LV00853,SPL05755,2020-11-10,2020-12-19
LV00854,SPL05756,2021-12-28,2022-01-18
LV00855,SPL05760,2021-11-16,2022-02-23
LV00856,SPL05774,2022-01-30,2022-05-23
LV00857,SPL05776,2022-06-05,2022-09-18
LV00858,SPL05780,2022-02-19,2022-04-06
LV00859,SPL05785,2021-10-08,2022-01-08
LV00860,SPL05791,2023-11-12,2024-01-09
LV00861,SPL05794,2021-10-22,2022-01-17
LV00862,SPL05800,2022-08-24,2022-11-05
LV00863,SPL05804,2021-08-13,2021-10-16
LV00864,SPL05806,2021-02-07,2021-05-13
LV00865,SPL05833,2023-10-15,2024-01-10
LV00866,SPL05838,2024-06-27,2024-08-29
LV00867,SPL05854,2024-03-27,2024-06-07
LV00868,SPL05860,2021-11-07,2021-12-03
LV00869,SPL05864,2022-05-25,2022-08-26
LV00870,SPL05867,2023-08-04,2023-10-14
LV00871,SPL05870,2023-07-02,2023-07-23
LV00872,SPL05877,2022-05-21,2022-09-13
LV00873,SPL05878,2021-12-08,2022-03-08
LV00874,SPL05886,2024-03-13,2024-07-06
LV00875,SPL05887,2024-01-19,2024-04-03
LV00876,SPL05892,2024-05-20,2024-07-24
LV00877,SPL05899,2022-12-29,2023-02-19
LV00878,SPL05910,2024-06-07,2024-07-19
LV00879,SPL05916,2021-12-24,2022-02-21
LV00880,SPL05922,2023-09-21,2023-11-30
LV00881,SPL05923,2023-10-01,2024-01-07
LV00882,SPL05956,2024-06-27,2024-08-30
LV00883,SPL05960,2024-06-25,2024-09-10
LV00884,SPL05967,2024-02-13,2024-05-17
LV00885,SPL05976,2023-02-13,2023-04-27
LV00886,SPL05981,2021-04-21,2021-08-14
LV00887,SPL05983,2019-12-12,2020-01-08
LV00888,SPL05983,2023-06-09,2023-09-03
LV00889,SPL05988,2023-01-01,2023-03-30
LV00890,SPL05989,2023-01-05,2023-02-12
LV00891,SPL05991,2023-12-12,2024-01-04
LV00892,SPL05992,2024-03-30,2024-05-25
LV00893,SPL06002,2023-09-19,2024-01-13
LV00894,SPL06005,2023-10-23,2023-12-21
LV00895,SPL06009,2024-05-19,2024-06-15
LV00896,SPL06016,2024-02-07,2024-03-24
LV00897,SPL06025,2022-06-15,2022-07-18
LV00898,SPL06025,2022-07-25,2022-10-21
LV00899,SPL06069,2021-10-01,2022-01-28
LV00900,SPL06081,2022-05-03,2022-07-14
LV00901,SPL06081,2023-01-20,2023-03-28
LV00902,SPL06084,2022-10-28,2023-02-03
LV00903,SPL06087,2024-06-25,2024-09-25
LV00904,SPL06097,2024-06-02,2024-07-14
LV00905,SPL06098,2024-01-18,2024-03-25
LV00906,SPL06102,2024-06-18,2024-07-27
LV00907,SPL06110,2024-05-30,2024-08-15
LV00908,SPL06111,2023-06-30,2023-08-30
LV00909,SPL06113,2023-08-30,2023-11-21
LV00910,SPL06131,2020-09-23,2021-01-19
LV00911,SPL06131,2021-05-18,2021-09-06
LV00912,SPL06136,2023-05-26,2023-07-03
LV00913,SPL06141,2023-04-26,2023-08-24
LV00914,SPL06145,2023-11-06,2024-01-15
LV00915,SPL06155,2024-05-11,2024-08-08
LV00916,SPL06160,2019-06-30,2019-10-14
LV00917,SPL06180,2023-11-02,2024-02-29
LV00918,SPL06183,2021-07-12,2021-11-08
LV00919,SPL06183,2023-05-13,2023-08-02
LV00920,SPL06194,2021-12-08,2022-01-30
LV00921,SPL06197,2024-04-30,2024-08-02
LV00922,SPL06198,2021-10-16,2021-11-25
LV00923,SPL06212,2020-07-23,2020-08-16
LV00924,SPL06212,2020-10-11,2020-12-19
LV00925,SPL06222,2021-07-20,2021-11-09
LV00926,SPL06226,2024-06-26,2024-08-24
LV00927,SPL06232,2022-03-19,2022-06-21
LV00928,SPL06245,2021-05-22,2021-07-13
LV00929,SPL06252,2024-06-18,2024-08-31
LV00930,SPL06256,2021-05-13,2021-08-30
LV00931,SPL06259,2023-01-02,2023-03-16
LV00932,SPL06261,2020-01-05,2020-01-29
LV00933,SPL06265,2023-12-13,2024-02-23
LV00934,SPL06270,2023-04-18,2023-08-04
LV00935,SPL06271,2019-08-13,2019-10-31
LV00936,SPL06286,2024-03-19,2024-07-07
LV00937,SPL06304,2024-05-30,2024-09-06
LV00938,SPL06313,2023-10-04,2023-11-15
LV00939,SPL06314,2024-04-01,2024-07-07
LV00940,SPL06319,2024-06-11,2024-07-15
LV00941,SPL06325,2024-01-02,2024-04-19
LV00942,SPL06329,2020-12-17,2021-04-08
LV00943,SPL06333,2023-03-13,2023-04-11
LV00944,SPL06335,2023-10-13,2024-01-24
LV00945,SPL06340,2024-06-12,2024-10-08
LV00946,SPL06341,2024-06-21,2024-09-01
LV00947,SPL06344,2021-03-07,2021-05-21
LV00948,SPL06345,2024-04-13,2024-05-09
LV00949,SPL06347,2023-02-03,2023-03-24
LV00950,SPL06362,2024-06-14,2024-07-12
LV00951,SPL06365,2024-05-10,2024-07-08
LV00952,SPL06380,2021-12-24,2022-04-05
LV00953,SPL06392,2021-05-30,2021-07-08
LV00954,SPL06392,2023-03-17,2023-05-12
LV00955,SPL06398,2023-11-17,2024-03-05
LV00956,SPL06399,2023-04-19,2023-08-05
LV00957,SPL06403,2024-05-16,2024-07-23
LV00958,SPL06407,2020-08-03,2020-10-21
LV00959,SPL06411,2024-06-12,2024-09-09
LV00960,SPL06413,2021-03-05,2021-06-10
LV00961,SPL06433,2021-12-23,2022-04-10
LV00962,SPL06433,2022-06-02,2022-08-15
LV00963,SPL06439,2023-06-24,2023-07-30
LV00964,SPL06446,2024-01-29,2024-04-16
LV00965,SPL06468,2023-06-14,2023-07-15
LV00966,SPL06474,2021-09-08,2021-10-17
LV00967,SPL06475,2022-04-04,2022-06-30
LV00968,SPL06491,2024-05-04,2024-06-21
LV00969,SPL06495,2021-06-18,2021-07-18
LV00970,SPL06510,2023-04-06,2023-05-05
LV00971,SPL06512,2022-02-25,2022-04-21
LV00972,SPL06518,2023-09-19,2023-11-01
LV00973,SPL06527,2022-10-25,2023-02-06
LV00974,SPL06534,2024-06-11,2024-07-25
LV00975,SPL06542,2023-04-20,2023-05-10
LV00976,SPL06542,2023-07-29,2023-10-15
LV00977,SPL06549,2024-06-30,2024-07-28
LV00978,SPL06560,2023-09-21,2023-10-15
LV00979,SPL06569,2023-03-30,2023-06-07
LV00980,SPL06572,2024-03-14,2024-07-08
LV00981,SPL06576,2024-06-06,2024-08-01
LV00982,SPL06594,2021-11-12,2021-12-19
LV00983,SPL06599,2020-08-13,2020-09-30
LV00984,SPL06609,2023-01-05,2023-03-27
LV00985,SPL06610,2024-02-23,2024-03-16
LV00986,SPL06611,2022-11-03,2022-11-28
LV00987,SPL06624,2024-06-15,2024-07-06
LV00988,SPL06628,2023-01-24,2023-03-27
LV00989,SPL06630,2022-05-15,2022-06-22
LV00990,SPL06635,2022-03-30,2022-05-14
LV00991,SPL06644,2023-03-30,2023-07-25
LV00992,SPL06644,2024-01-27,2024-02-21
LV00993,SPL06656,2023-12-09,2024-02-26
LV00994,SPL06659,2023-12-16,2024-02-19
LV00995,SPL06669,2021-02-21,2021-05-07
LV00996,SPL06670,2024-04-26,2024-05-29
LV00997,SPL06678,2022-02-01,2022-05-25
LV00998,SPL06682,2020-06-17,2020-07-30
LV00999,SPL06690,2024-06-13,2024-08-24
LV01000,SPL06691,2024-06-23,2024-09-13
LV01001,SPL06707,2022-12-11,2023-02-22
LV01002,SPL06719,2023-04-15,2023-07-12
LV01003,SPL06725,2023-10-10,2024-01-15
LV01004,SPL06727,2022-11-19,2023-03-19
LV01005,SPL06731,2022-05-31,2022-07-11
LV01006,SPL06761,2024-05-28,2024-08-01
LV01007,SPL06765,2024-04-08,2024-06-30
LV01008,SPL06768,2024-04-24,2024-08-15
LV01009,SPL06771,2024-03-20,2024-04-24
LV01010,SPL06788,2022-05-05,2022-08-13
LV01011,SPL06788,2022-11-27,2023-01-12
LV01012,SPL06789,2023-03-08,2023-05-13
LV01013,SPL06801,2023-11-29,2024-03-22
LV01014,SPL06833,2023-10-09,2023-12-06
LV01015,SPL06841,2022-03-09,2022-06-13
LV01016,SPL06845,2024-06-06,2024-07-15
LV01017,SPL06846,2024-02-01,2024-03-04
LV01018,SPL06859,2021-10-02,2021-12-11
LV01019,SPL06863,2022-10-17,2023-01-23
LV01020,SPL06864,2023-09-23,2023-12-05
LV01021,SPL06872,2022-08-05,2022-10-22
LV01022,SPL06872,2024-04-08,2024-06-22
LV01023,SPL06877,2024-03-29,2024-05-04
LV01024,SPL06890,2024-01-21,2024-04-28
LV01025,SPL06898,2022-10-19,2022-12-20
LV01026,SPL06899,2024-03-04,2024-04-09
LV01027,SPL06904,2022-08-07,2022-10-30
LV01028,SPL06913,2023-11-14,2024-01-01
LV01029,SPL06922,2022-01-10,2022-02-21
LV01030,SPL06926,2022-10-11,2022-12-10
LV01031,SPL06926,2023-07-13,2023-10-20
LV01032,SPL06935,2022-05-23,2022-07-04
LV01033,SPL06954,2021-10-12,2021-11-18
LV01034,SPL06957,2023-09-20,2023-12-06
LV01035,SPL06960,2021-11-30,2022-01-31
LV01036,SPL06969,2023-08-15,2023-10-23
LV01037,SPL06979,2024-03-29,2024-07-14
LV01038,SPL06989,2024-06-09,2024-07-12
LV01039,SPL06992,2021-03-05,2021-04-23
LV01040,SPL06995,2021-10-18,2021-12-16
LV01041,SPL06999,2023-12-24,2024-02-18
LV01042,SPL07004,2022-03-04,2022-04-25
LV01043,SPL07024,2024-06-14,2024-07-06
LV01044,SPL07031,2023-11-07,2023-12-19
LV01045,SPL07043,2023-12-04,2024-02-15
LV01046,SPL07044,2022-10-14,2022-11-24
LV01047,SPL07049,2023-06-22,2023-08-11
LV01048,SPL07049,2023-08-13,2023-10-04
LV01049,SPL07061,2022-01-25,2022-03-21
LV01050,SPL07063,2021-11-19,2022-02-27
LV01051,SPL07064,2024-04-11,2024-05-01
LV01052,SPL07070,2022-05-16,2022-09-09
LV01053,SPL07071,2024-04-16,2024-07-23
LV01054,SPL07077,2022-02-27,2022-06-08
LV01055,SPL07095,2024-04-02,2024-05-16
LV01056,SPL07097,2023-11-17,2024-03-11
LV01057,SPL07097,2024-04-03,2024-04-26
LV01058,SPL07099,2023-09-06,2024-01-01
LV01059,SPL07123,2024-05-13,2024-08-25
LV01060,SPL07129,2023-09-05,2023-12-01
LV01061,SPL07130,2024-01-30,2024-04-04
LV01062,SPL07130,2024-04-16,2024-08-02
LV01063,SPL07135,2021-05-23,2021-08-25
LV01064,SPL07136,2024-04-28,2024-06-06
LV01065,SPL07190,2021-12-01,2022-03-26
LV01066,SPL07200,2021-10-08,2021-11-22
LV01067,SPL07206,2022-01-05,2022-03-28
LV01068,SPL07213,2023-03-10,2023-06-13
LV01069,SPL07223,2024-06-02,2024-07-14
LV01070,SPL07226,2019-11-05,2020-01-31
LV01071,SPL07230,2024-06-20,2024-07-22
LV01072,SPL07246,2021-12-22,2022-02-05
LV01073,SPL07254,2022-06-27,2022-09-05
LV01074,SPL07255,2023-03-28,2023-07-12
LV01075,SPL07256,2024-03-31,2024-07-13
LV01076,SPL07257,2024-04-28,2024-08-21
LV01077,SPL07260,2024-06-08,2024-08-01
LV01078,SPL07263,2023-10-05,2024-02-01
LV01079,SPL07273,2024-06-04,2024-09-17
LV01080,SPL07275,2023-01-28,2023-02-27
LV01081,SPL07282,2022-02-28,2022-06-26
LV01082,SPL07289,2023-08-09,2023-09-27
LV01083,SPL07289,2024-02-20,2024-04-15
LV01084,SPL07294,2024-03-12,2024-05-21
LV01085,SPL07295,2024-05-28,2024-07-07
LV01086,SPL07297,2021-02-10,2021-06-10
LV01087,SPL07298,2023-10-28,2024-01-06
LV01088,SPL07301,2024-01-19,2024-02-23
LV01089,SPL07301,2024-06-27,2024-10-25
LV01090,SPL07305,2024-06-29,2024-09-02
LV01091,SPL07306,2022-12-25,2023-03-04
LV01092,SPL07307,2024-05-24,2024-08-08
LV01093,SPL07312,2022-06-15,2022-09-24
LV01094,SPL07322,2024-04-27,2024-07-10
LV01095,SPL07323,2024-02-19,2024-03-28
LV01096,SPL07327,2024-03-31,2024-04-30
LV01097,SPL07351,2021-12-17,2022-03-28
LV01098,SPL07355,2024-04-01,2024-07-14
LV01099,SPL07380,2023-06-16,2023-08-30
LV01100,SPL07389,2021-04-17,2021-07-07
LV01101,SPL07394,2024-02-22,2024-06-18
LV01102,SPL07396,2023-08-30,2023-10-21
LV01103,SPL07399,2024-06-22,2024-10-14
LV01104,SPL07411,2023-05-18,2023-06-25
LV01105,SPL07414,2024-05-05,2024-07-06
LV01106,SPL07419,2022-01-11,2022-03-28
LV01107,SPL07423,2023-12-10,2024-04-05
LV01108,SPL07424,2024-01-28,2024-04-18
LV01109,SPL07425,2024-01-09,2024-02-12
LV01110,SPL07433,2024-05-26,2024-07-25
LV01111,SPL07434,2021-08-20,2021-11-30
LV01112,SPL07445,2024-06-27,2024-08-29
LV01113,SPL07466,2023-03-20,2023-04-20
LV01114,SPL07474,2024-06-25,2024-10-01
LV01115,SPL07503,2022-04-18,2022-05-10
LV01116,SPL07505,2020-07-14,2020-08-22
LV01117,SPL07517,2024-01-11,2024-02-11
