lot_id,rejection_date,rejection_reason,rework_possible,rework_cost_per_unit,disposal_cost_per_unit
L03-0348,2024-03-20,particulate exceedance,False,14.38,57.8
L01-0437,2024-03-24,viscosity failure,True,21.18,64.82
L01-0441,2024-03-24,viscosity failure,True,19.35,50.39
L01-0446,2024-03-22,particulate exceedance,False,15.29,71.01
L01-0450,2024-03-23,particulate exceedance,False,21.09,68.64
L01-0456,2024-03-22,viscosity failure,False,19.3,53.51
L01-0457,2024-03-20,microbial contamination,False,16.74,71.2
L01-0461,2024-03-23,particulate exceedance,False,19.33,48.25
L02-0294,2024-03-19,particulate exceedance,False,22.0,51.7
L02-0302,2024-03-21,microbial contamination,False,17.76,51.8
L02-0304,2024-03-21,particulate exceedance,True,17.31,57.73
L02-0309,2024-03-21,assay out of specification,False,19.7,70.94
L02-0311,2024-03-23,microbial contamination,False,18.9,52.03
L03-0367,2024-03-22,assay out of specification,False,15.62,66.48
L03-0369,2024-03-19,pH deviation,True,18.68,61.33
L03-0378,2024-03-22,pH deviation,True,19.03,65.77
L03-0383,2024-03-22,assay out of specification,False,19.24,66.59
L03-0384,2024-03-23,assay out of specification,False,19.28,54.21
L02-0327,2024-03-23,viscosity failure,False,15.28,68.46
L03-0391,2024-03-22,microbial contamination,True,18.35,57.58
L03-0393,2024-03-23,assay out of specification,False,15.88,51.71
L03-0395,2024-03-25,assay out of specification,True,20.08,56.61
L03-0398,2024-03-20,assay out of specification,True,19.22,57.68
L01-0481,2024-03-26,microbial contamination,True,19.83,71.11
L02-0334,2024-03-25,microbial contamination,False,15.59,57.73
L02-0337,2024-03-21,assay out of specification,False,19.94,50.96
L02-0338,2024-03-21,microbial contamination,False,21.85,71.75
L03-0413,2024-03-25,assay out of specification,False,15.28,61.2
L03-0416,2024-03-24,particulate exceedance,True,19.78,60.86
L01-0521,2024-03-26,microbial contamination,False,17.24,48.99
L01-0530,2024-03-25,pH deviation,True,20.03,53.99
L01-0534,2024-03-23,pH deviation,False,20.68,68.27
L02-0361,2024-03-24,pH deviation,False,15.96,71.42
L03-0426,2024-03-24,particulate exceedance,True,14.72,68.54
L03-0428,2024-03-24,pH deviation,False,19.31,60.8
L03-0436,2024-03-22,viscosity failure,False,18.65,50.04
L03-0452,2024-03-25,viscosity failure,False,21.15,50.44
L03-0454,2024-03-28,viscosity failure,False,15.74,65.06
L03-0455,2024-03-24,microbial contamination,True,16.6,59.24
L03-0457,2024-03-24,viscosity failure,True,20.01,70.35
L03-0462,2024-03-25,viscosity failure,True,18.94,59.44
L01-0566,2024-03-26,microbial contamination,False,21.24,65.58
L01-0576,2024-03-28,particulate exceedance,False,21.51,51.59
L02-0379,2024-03-26,microbial contamination,False,20.76,69.46
L02-0386,2024-03-25,microbial contamination,True,14.14,55.24
L03-0487,2024-03-29,microbial contamination,False,17.15,63.04
L01-0584,2024-03-30,particulate exceedance,True,16.51,56.96
L01-0590,2024-03-28,microbial contamination,False,17.8,71.79
L01-0602,2024-03-29,pH deviation,False,14.89,58.84
L02-0388,2024-03-27,microbial contamination,False,18.69,59.47
L02-0395,2024-03-30,pH deviation,False,19.31,65.84
L02-0406,2024-03-26,viscosity failure,False,14.52,63.11
L03-0490,2024-03-28,particulate exceedance,True,18.75,64.15
L03-0514,2024-03-28,particulate exceedance,True,19.08,48.6
L03-0515,2024-03-26,assay out of specification,False,17.92,62.17
L03-0519,2024-03-29,pH deviation,False,14.3,48.57
L03-0522,2024-03-28,viscosity failure,True,20.43,60.39
L01-0607,2024-03-28,assay out of specification,True,14.5,60.06
L01-0615,2024-03-29,pH deviation,False,14.86,57.52
L01-0619,2024-03-29,assay out of specification,False,14.76,64.34
L01-0623,2024-03-28,microbial contamination,False,15.77,63.76
L02-0410,2024-03-31,pH deviation,True,20.85,69.37
L02-0418,2024-03-28,pH deviation,False,19.92,56.14
L03-0529,2024-03-29,assay out of specification,False,18.18,54.67
L03-0534,2024-03-28,assay out of specification,False,17.56,61.31
L03-0544,2024-03-27,assay out of specification,True,16.85,53.5
L01-0633,2024-03-28,assay out of specification,True,19.23,54.02
L01-0641,2024-04-01,viscosity failure,False,16.77,66.99
L02-0423,2024-03-29,assay out of specification,False,17.43,68.95
L02-0435,2024-03-30,particulate exceedance,True,19.59,63.37
L03-0553,2024-03-30,pH deviation,False,19.12,51.71
L03-0554,2024-03-29,pH deviation,False,18.8,48.84
L03-0563,2024-04-01,pH deviation,True,21.79,59.6
L03-0565,2024-03-29,particulate exceedance,True,17.75,71.13
L01-0669,2024-04-02,viscosity failure,False,21.05,58.12
L01-0670,2024-03-30,microbial contamination,True,19.45,64.85
L01-0675,2024-03-31,assay out of specification,False,16.01,66.29
L02-0445,2024-04-01,viscosity failure,True,21.8,66.58
L02-0446,2024-04-02,microbial contamination,True,17.71,59.36
L02-0449,2024-03-31,viscosity failure,False,17.09,58.18
L03-0570,2024-03-29,viscosity failure,False,17.98,66.33
L03-0578,2024-03-30,pH deviation,False,18.99,54.34
L03-0581,2024-03-29,assay out of specification,False,20.1,55.86
L01-0705,2024-04-02,viscosity failure,False,20.81,50.97
L02-0470,2024-04-02,particulate exceedance,False,17.48,66.68
L03-0588,2024-04-02,microbial contamination,True,20.64,58.62
L03-0596,2024-03-31,pH deviation,False,15.71,69.78
L01-0711,2024-04-02,assay out of specification,False,18.33,64.06
L01-0718,2024-04-01,viscosity failure,False,20.82,66.33
L01-0730,2024-03-30,particulate exceedance,True,17.52,61.89
L03-0604,2024-04-03,pH deviation,False,18.5,65.23
L03-0607,2024-04-04,microbial contamination,False,17.36,61.84
L03-0617,2024-04-04,microbial contamination,True,19.3,55.93
L01-0739,2024-04-02,microbial contamination,False,16.02,62.05
L01-0741,2024-04-05,viscosity failure,False,17.37,64.65
L01-0745,2024-04-01,particulate exceedance,False,21.94,57.11
L01-0752,2024-04-01,viscosity failure,False,17.36,69.65
L01-0754,2024-04-01,assay out of specification,False,19.65,61.12
L01-0757,2024-04-01,particulate exceedance,False,20.48,61.19
L01-0761,2024-04-04,viscosity failure,False,19.82,63.29
L02-0507,2024-04-02,assay out of specification,True,19.78,54.73
L03-0621,2024-04-02,viscosity failure,False,15.11,66.39
L03-0625,2024-04-04,microbial contamination,False,21.27,65.91
L03-0635,2024-04-03,microbial contamination,False,20.11,58.25
L01-0764,2024-04-01,particulate exceedance,False,20.06,50.19
L01-0783,2024-04-03,particulate exceedance,True,18.01,58.39
L02-0508,2024-04-01,assay out of specification,True,16.26,69.43
L02-0510,2024-04-01,particulate exceedance,True,17.2,63.41
L03-0654,2024-04-02,viscosity failure,False,17.51,63.19
L03-0668,2024-04-05,viscosity failure,True,21.07,68.32
