result_id,lot_id,test_id,measured_value,units,analyst_id,tested_date
RES007851,L01-0630,T01,1.0084,%,AN06,2024-01-25
RES007852,L01-0630,T02,6.6672,pH units,AN06,2024-01-25
RES007853,L01-0630,T03,119.5528,cP,AN06,2024-01-25
RES007854,L01-0630,T04,17.34,particles/mL,AN06,2024-01-25
RES007855,L01-0630,T05,1.37,CFU/mL,AN06,2024-01-25
RES007856,L02-0425,T01,1.0691,%,AN09,2024-01-27
RES007857,L02-0425,T02,6.8194,pH units,AN09,2024-01-27
RES007858,L02-0425,T03,100.8384,cP,AN09,2024-01-27
RES007859,L02-0425,T04,91.51,particles/mL,AN09,2024-01-27
RES007860,L02-0425,T05,1.84,CFU/mL,AN09,2024-01-27
RES007861,L02-0426,T01,1.0091,%,AN04,2024-01-27
RES007862,L02-0426,T02,6.9395,pH units,AN04,2024-01-27
RES007863,L02-0426,T03,129.2368,cP,AN04,2024-01-27
RES007864,L02-0426,T04,38.28,particles/mL,AN04,2024-01-27
RES007865,L02-0426,T05,8.08,CFU/mL,AN04,2024-01-27
RES007866,L02-0427,T01,0.9399,%,AN07,2024-01-26
RES007867,L02-0427,T02,7.359,pH units,AN07,2024-01-26
RES007868,L02-0427,T03,117.5081,cP,AN07,2024-01-26
RES007869,L02-0427,T04,34.23,particles/mL,AN07,2024-01-26
RES007870,L02-0427,T05,7.47,CFU/mL,AN07,2024-01-26
RES007871,L02-0428,T01,0.9476,%,AN07,2024-01-27
RES007872,L02-0428,T02,7.052,pH units,AN07,2024-01-27
RES007873,L02-0428,T03,125.1216,cP,AN07,2024-01-27
RES007874,L02-0428,T04,54.25,particles/mL,AN07,2024-01-27
RES007875,L02-0428,T05,4.39,CFU/mL,AN07,2024-01-27
RES007876,L02-0429,T01,0.9561,%,AN15,2024-01-26
RES007877,L02-0429,T02,7.3244,pH units,AN15,2024-01-26
RES007878,L02-0429,T03,111.4451,cP,AN15,2024-01-26
RES007879,L02-0429,T04,66.61,particles/mL,AN15,2024-01-26
RES007880,L02-0429,T05,7.29,CFU/mL,AN15,2024-01-26
RES007881,L02-0430,T01,1.0573,%,AN03,2024-01-26
RES007882,L02-0430,T02,7.0002,pH units,AN03,2024-01-26
RES007883,L02-0430,T03,111.4419,cP,AN03,2024-01-26
RES007884,L02-0430,T04,43.07,particles/mL,AN03,2024-01-26
RES007885,L02-0430,T05,3.26,CFU/mL,AN03,2024-01-26
RES007886,L02-0431,T01,0.8865,%,AN09,2024-01-26
RES007887,L02-0431,T02,6.9119,pH units,AN09,2024-01-26
RES007888,L02-0431,T03,109.6933,cP,AN09,2024-01-26
RES007889,L02-0431,T04,105.44,particles/mL,AN09,2024-01-26
RES007890,L02-0431,T05,0.27,CFU/mL,AN09,2024-01-26
RES007891,L02-0432,T01,0.9775,%,AN10,2024-01-26
RES007892,L02-0432,T02,6.8784,pH units,AN10,2024-01-26
RES007893,L02-0432,T03,135.4433,cP,AN10,2024-01-26
RES007894,L02-0432,T04,37.57,particles/mL,AN10,2024-01-26
RES007895,L02-0432,T05,4.13,CFU/mL,AN10,2024-01-26
RES007896,L02-0433,T01,0.9458,%,AN11,2024-01-27
RES007897,L02-0433,T02,6.8198,pH units,AN11,2024-01-27
RES007898,L02-0433,T03,118.6717,cP,AN11,2024-01-27
RES007899,L02-0433,T04,10.43,particles/mL,AN11,2024-01-27
RES007900,L02-0433,T05,3.94,CFU/mL,AN11,2024-01-27
RES007901,L02-0434,T01,1.1122,%,AN11,2024-01-28
RES007902,L02-0434,T02,6.7601,pH units,AN11,2024-01-28
RES007903,L02-0434,T03,139.7838,cP,AN11,2024-01-28
RES007904,L02-0434,T04,68.26,particles/mL,AN11,2024-01-28
RES007905,L02-0434,T05,0.0,CFU/mL,AN11,2024-01-28
RES007906,L02-0435,T01,1.0047,%,AN11,2024-01-26
RES007907,L02-0435,T02,6.9413,pH units,AN11,2024-01-26
RES007908,L02-0435,T03,129.488,cP,AN11,2024-01-26
RES007909,L02-0435,T04,48.72,particles/mL,AN11,2024-01-26
RES007910,L02-0435,T05,3.09,CFU/mL,AN11,2024-01-26
RES007911,L02-0436,T01,0.9921,%,AN08,2024-01-26
RES007912,L02-0436,T02,7.0489,pH units,AN08,2024-01-26
RES007913,L02-0436,T03,125.851,cP,AN08,2024-01-26
RES007914,L02-0436,T04,81.25,particles/mL,AN08,2024-01-26
RES007915,L02-0436,T05,1.5,CFU/mL,AN08,2024-01-26
RES007916,L02-0437,T01,1.0138,%,AN07,2024-01-26
RES007917,L02-0437,T02,7.198,pH units,AN07,2024-01-26
RES007918,L02-0437,T03,110.8995,cP,AN07,2024-01-26
RES007919,L02-0437,T04,22.77,particles/mL,AN07,2024-01-26
RES007920,L02-0437,T05,0.0,CFU/mL,AN07,2024-01-26
RES007921,L02-0438,T01,0.9819,%,AN03,2024-01-25
RES007922,L02-0438,T02,7.2486,pH units,AN03,2024-01-25
RES007923,L02-0438,T03,121.0586,cP,AN03,2024-01-25
RES007924,L02-0438,T04,1.64,particles/mL,AN03,2024-01-25
RES007925,L02-0438,T05,3.84,CFU/mL,AN03,2024-01-25
RES007926,L02-0439,T01,0.8623,%,AN01,2024-01-25
RES007927,L02-0439,T02,7.0208,pH units,AN01,2024-01-25
RES007928,L02-0439,T03,141.6218,cP,AN01,2024-01-25
RES007929,L02-0439,T04,5.11,particles/mL,AN01,2024-01-25
RES007930,L02-0439,T05,2.92,CFU/mL,AN01,2024-01-25
RES007931,L02-0440,T01,0.9076,%,AN13,2024-01-28
RES007932,L02-0440,T02,7.0741,pH units,AN13,2024-01-28
RES007933,L02-0440,T03,123.6251,cP,AN13,2024-01-28
RES007934,L02-0440,T04,79.28,particles/mL,AN13,2024-01-28
RES007935,L02-0440,T05,10.03,CFU/mL,AN13,2024-01-28
RES007936,L03-0518,T01,10473.28,ppm,AN07,2024-01-28
RES007937,L03-0518,T02,7.0229,pH units,AN07,2024-01-28
RES007938,L03-0518,T03,119.1155,cP,AN07,2024-01-28
RES007939,L03-0518,T04,98.37,particles/mL,AN07,2024-01-28
RES007940,L03-0518,T05,9.69,CFU/mL,AN07,2024-01-28
RES007941,L03-0519,T01,10558.77,ppm,AN13,2024-01-27
RES007942,L03-0519,T02,7.4346,pH units,AN13,2024-01-27
RES007943,L03-0519,T03,103.1461,cP,AN13,2024-01-27
RES007944,L03-0519,T04,77.13,particles/mL,AN13,2024-01-27
RES007945,L03-0519,T05,1.72,CFU/mL,AN13,2024-01-27
RES007946,L03-0520,T01,10385.73,ppm,AN01,2024-01-28
RES007947,L03-0520,T02,6.9974,pH units,AN01,2024-01-28
RES007948,L03-0520,T03,122.2284,cP,AN01,2024-01-28
RES007949,L03-0520,T04,39.02,particles/mL,AN01,2024-01-28
RES007950,L03-0520,T05,0.0,CFU/mL,AN01,2024-01-28
RES007951,L03-0521,T01,9963.75,ppm,AN07,2024-01-25
RES007952,L03-0521,T02,6.9858,pH units,AN07,2024-01-25
RES007953,L03-0521,T03,102.7533,cP,AN07,2024-01-25
RES007954,L03-0521,T04,38.75,particles/mL,AN07,2024-01-25
RES007955,L03-0521,T05,8.06,CFU/mL,AN07,2024-01-25
RES007956,L03-0522,T01,10649.7,ppm,AN10,2024-01-27
RES007957,L03-0522,T02,6.7505,pH units,AN10,2024-01-27
RES007958,L03-0522,T03,120.2817,cP,AN10,2024-01-27
RES007959,L03-0522,T04,47.4,particles/mL,AN10,2024-01-27
RES007960,L03-0522,T05,12.21,CFU/mL,AN10,2024-01-27
RES007961,L03-0523,T01,10892.31,ppm,AN10,2024-01-28
RES007962,L03-0523,T02,7.0404,pH units,AN10,2024-01-28
RES007963,L03-0523,T03,112.9057,cP,AN10,2024-01-28
RES007964,L03-0523,T04,45.46,particles/mL,AN10,2024-01-28
RES007965,L03-0523,T05,10.94,CFU/mL,AN10,2024-01-28
RES007966,L03-0524,T01,11441.56,ppm,AN11,2024-01-25
RES007967,L03-0524,T02,7.0747,pH units,AN11,2024-01-25
RES007968,L03-0524,T03,127.4236,cP,AN11,2024-01-25
RES007969,L03-0524,T04,28.41,particles/mL,AN11,2024-01-25
RES007970,L03-0524,T05,6.05,CFU/mL,AN11,2024-01-25
RES007971,L03-0525,T01,9028.45,ppm,AN05,2024-01-26
RES007972,L03-0525,T02,7.0533,pH units,AN05,2024-01-26
RES007973,L03-0525,T03,101.6004,cP,AN05,2024-01-26
RES007974,L03-0525,T04,58.58,particles/mL,AN05,2024-01-26
RES007975,L03-0525,T05,8.78,CFU/mL,AN05,2024-01-26
RES007976,L03-0526,T01,10642.82,ppm,AN15,2024-01-27
RES007977,L03-0526,T02,7.0031,pH units,AN15,2024-01-27
RES007978,L03-0526,T03,121.9289,cP,AN15,2024-01-27
RES007979,L03-0526,T04,63.06,particles/mL,AN15,2024-01-27
RES007980,L03-0526,T05,2.12,CFU/mL,AN15,2024-01-27
RES007981,L03-0527,T01,10050.73,ppm,AN09,2024-01-28
RES007982,L03-0527,T02,7.265,pH units,AN09,2024-01-28
RES007983,L03-0527,T03,105.9504,cP,AN09,2024-01-28
RES007984,L03-0527,T04,69.12,particles/mL,AN09,2024-01-28
RES007985,L03-0527,T05,11.91,CFU/mL,AN09,2024-01-28
RES007986,L03-0528,T01,9465.95,ppm,AN03,2024-01-28
RES007987,L03-0528,T02,6.8791,pH units,AN03,2024-01-28
RES007988,L03-0528,T03,125.5748,cP,AN03,2024-01-28
RES007989,L03-0528,T04,52.17,particles/mL,AN03,2024-01-28
RES007990,L03-0528,T05,5.22,CFU/mL,AN03,2024-01-28
RES007991,L03-0529,T01,9612.95,ppm,AN15,2024-01-25
RES007992,L03-0529,T02,6.938,pH units,AN15,2024-01-25
RES007993,L03-0529,T03,116.5541,cP,AN15,2024-01-25
RES007994,L03-0529,T04,107.52,particles/mL,AN15,2024-01-25
RES007995,L03-0529,T05,7.57,CFU/mL,AN15,2024-01-25
RES007996,L03-0530,T01,10964.3,ppm,AN11,2024-01-26
RES007997,L03-0530,T02,7.4017,pH units,AN11,2024-01-26
RES007998,L03-0530,T03,105.9702,cP,AN11,2024-01-26
RES007999,L03-0530,T04,45.57,particles/mL,AN11,2024-01-26
RES008000,L03-0530,T05,2.62,CFU/mL,AN11,2024-01-26
RES008001,L03-0531,T01,9612.9,ppm,AN08,2024-01-25
RES008002,L03-0531,T02,7.0019,pH units,AN08,2024-01-25
RES008003,L03-0531,T03,107.4837,cP,AN08,2024-01-25
RES008004,L03-0531,T04,7.46,particles/mL,AN08,2024-01-25
RES008005,L03-0531,T05,7.35,CFU/mL,AN08,2024-01-25
RES008006,L03-0532,T01,10159.24,ppm,AN04,2024-01-28
RES008007,L03-0532,T02,6.8878,pH units,AN04,2024-01-28
RES008008,L03-0532,T03,122.7434,cP,AN04,2024-01-28
RES008009,L03-0532,T04,51.58,particles/mL,AN04,2024-01-28
RES008010,L03-0532,T05,7.01,CFU/mL,AN04,2024-01-28
RES008011,L01-0631,T01,0.9272,%,AN04,2024-01-28
RES008012,L01-0631,T02,6.7866,pH units,AN04,2024-01-28
RES008013,L01-0631,T03,109.3442,cP,AN04,2024-01-28
RES008014,L01-0631,T04,52.14,particles/mL,AN04,2024-01-28
RES008015,L01-0631,T05,3.3,CFU/mL,AN04,2024-01-28
RES008016,L01-0632,T01,1.0074,%,AN08,2024-01-28
RES008017,L01-0632,T02,7.2469,pH units,AN08,2024-01-28
RES008018,L01-0632,T03,101.8431,cP,AN08,2024-01-28
RES008019,L01-0632,T04,64.93,particles/mL,AN08,2024-01-28
RES008020,L01-0632,T05,3.7,CFU/mL,AN08,2024-01-28
RES008021,L01-0633,T01,1.0355,%,AN04,2024-01-29
RES008022,L01-0633,T02,6.7532,pH units,AN04,2024-01-29
RES008023,L01-0633,T03,130.0544,cP,AN04,2024-01-29
RES008024,L01-0633,T04,62.05,particles/mL,AN04,2024-01-29
RES008025,L01-0633,T05,7.81,CFU/mL,AN04,2024-01-29
RES008026,L01-0634,T01,1.0561,%,AN13,2024-01-28
RES008027,L01-0634,T02,7.1723,pH units,AN13,2024-01-28
RES008028,L01-0634,T03,119.5394,cP,AN13,2024-01-28
RES008029,L01-0634,T04,54.84,particles/mL,AN13,2024-01-28
RES008030,L01-0634,T05,2.44,CFU/mL,AN13,2024-01-28
RES008031,L01-0635,T01,0.957,%,AN07,2024-01-29
RES008032,L01-0635,T02,7.0199,pH units,AN07,2024-01-29
RES008033,L01-0635,T03,139.765,cP,AN07,2024-01-29
RES008034,L01-0635,T04,53.04,particles/mL,AN07,2024-01-29
RES008035,L01-0635,T05,10.59,CFU/mL,AN07,2024-01-29
RES008036,L01-0636,T01,1.1068,%,AN05,2024-01-27
RES008037,L01-0636,T02,7.0477,pH units,AN05,2024-01-27
RES008038,L01-0636,T03,118.8813,cP,AN05,2024-01-27
RES008039,L01-0636,T04,87.5,particles/mL,AN05,2024-01-27
RES008040,L01-0636,T05,0.0,CFU/mL,AN05,2024-01-27
RES008041,L01-0637,T01,0.923,%,AN09,2024-01-29
RES008042,L01-0637,T02,6.9111,pH units,AN09,2024-01-29
RES008043,L01-0637,T03,116.7149,cP,AN09,2024-01-29
RES008044,L01-0637,T04,39.19,particles/mL,AN09,2024-01-29
RES008045,L01-0637,T05,4.85,CFU/mL,AN09,2024-01-29
RES008046,L01-0638,T01,1.024,%,AN07,2024-01-27
RES008047,L01-0638,T02,6.9945,pH units,AN07,2024-01-27
RES008048,L01-0638,T03,131.7814,cP,AN07,2024-01-27
RES008049,L01-0638,T04,51.41,particles/mL,AN07,2024-01-27
RES008050,L01-0638,T05,5.19,CFU/mL,AN07,2024-01-27
RES008051,L01-0639,T01,1.0498,%,AN15,2024-01-27
RES008052,L01-0639,T02,7.2896,pH units,AN15,2024-01-27
RES008053,L01-0639,T03,118.7859,cP,AN15,2024-01-27
RES008054,L01-0639,T04,64.01,particles/mL,AN15,2024-01-27
RES008055,L01-0639,T05,6.83,CFU/mL,AN15,2024-01-27
RES008056,L01-0640,T01,0.9898,%,AN07,2024-01-27
RES008057,L01-0640,T02,7.0826,pH units,AN07,2024-01-27
RES008058,L01-0640,T03,126.5797,cP,AN07,2024-01-27
RES008059,L01-0640,T04,60.88,particles/mL,AN07,2024-01-27
RES008060,L01-0640,T05,5.04,CFU/mL,AN07,2024-01-27
RES008061,L01-0641,T01,0.9578,%,AN15,2024-01-29
RES008062,L01-0641,T02,7.0701,pH units,AN15,2024-01-29
RES008063,L01-0641,T03,119.8217,cP,AN15,2024-01-29
RES008064,L01-0641,T04,27.23,particles/mL,AN15,2024-01-29
RES008065,L01-0641,T05,5.77,CFU/mL,AN15,2024-01-29
RES008066,L01-0642,T01,0.8634,%,AN13,2024-01-29
RES008067,L01-0642,T02,6.904,pH units,AN13,2024-01-29
RES008068,L01-0642,T03,124.6854,cP,AN13,2024-01-29
RES008069,L01-0642,T04,36.26,particles/mL,AN13,2024-01-29
RES008070,L01-0642,T05,4.2,CFU/mL,AN13,2024-01-29
RES008071,L01-0643,T01,0.9807,%,AN05,2024-01-28
RES008072,L01-0643,T02,7.0968,pH units,AN05,2024-01-28
RES008073,L01-0643,T03,123.2669,cP,AN05,2024-01-28
RES008074,L01-0643,T04,38.51,particles/mL,AN05,2024-01-28
RES008075,L01-0643,T05,7.58,CFU/mL,AN05,2024-01-28
RES008076,L01-0644,T01,0.9873,%,AN04,2024-01-28
RES008077,L01-0644,T02,7.1915,pH units,AN04,2024-01-28
RES008078,L01-0644,T03,120.2219,cP,AN04,2024-01-28
RES008079,L01-0644,T04,39.82,particles/mL,AN04,2024-01-28
RES008080,L01-0644,T05,0.09,CFU/mL,AN04,2024-01-28
RES008081,L01-0645,T01,0.9463,%,AN09,2024-01-28
RES008082,L01-0645,T02,7.0044,pH units,AN09,2024-01-28
RES008083,L01-0645,T03,111.3541,cP,AN09,2024-01-28
RES008084,L01-0645,T04,56.24,particles/mL,AN09,2024-01-28
RES008085,L01-0645,T05,3.67,CFU/mL,AN09,2024-01-28
RES008086,L01-0646,T01,0.9225,%,AN02,2024-01-28
RES008087,L01-0646,T02,7.015,pH units,AN02,2024-01-28
RES008088,L01-0646,T03,131.3287,cP,AN02,2024-01-28
RES008089,L01-0646,T04,70.68,particles/mL,AN02,2024-01-28
RES008090,L01-0646,T05,0.0,CFU/mL,AN02,2024-01-28
RES008091,L01-0647,T01,1.0597,%,AN10,2024-01-28
RES008092,L01-0647,T02,6.9124,pH units,AN10,2024-01-28
RES008093,L01-0647,T03,120.8226,cP,AN10,2024-01-28
RES008094,L01-0647,T04,29.67,particles/mL,AN10,2024-01-28
RES008095,L01-0647,T05,4.78,CFU/mL,AN10,2024-01-28
RES008096,L01-0648,T01,0.9728,%,AN10,2024-01-27
RES008097,L01-0648,T02,7.0395,pH units,AN10,2024-01-27
RES008098,L01-0648,T03,127.0896,cP,AN10,2024-01-27
RES008099,L01-0648,T04,0.67,particles/mL,AN10,2024-01-27
RES008100,L01-0648,T05,5.24,CFU/mL,AN10,2024-01-27
RES008101,L01-0649,T01,1.0719,%,AN10,2024-01-29
RES008102,L01-0649,T02,6.7143,pH units,AN10,2024-01-29
RES008103,L01-0649,T03,112.9844,cP,AN10,2024-01-29
RES008104,L01-0649,T04,25.05,particles/mL,AN10,2024-01-29
RES008105,L01-0649,T05,5.97,CFU/mL,AN10,2024-01-29
RES008106,L01-0650,T01,1.0924,%,AN15,2024-01-27
RES008107,L01-0650,T02,7.1258,pH units,AN15,2024-01-27
RES008108,L01-0650,T03,128.523,cP,AN15,2024-01-27
RES008109,L01-0650,T04,83.3,particles/mL,AN15,2024-01-27
RES008110,L01-0650,T05,6.28,CFU/mL,AN15,2024-01-27
RES008111,L01-0651,T01,0.9307,%,AN12,2024-01-27
RES008112,L01-0651,T02,7.2029,pH units,AN12,2024-01-27
RES008113,L01-0651,T03,116.1774,cP,AN12,2024-01-27
RES008114,L01-0651,T04,26.47,particles/mL,AN12,2024-01-27
RES008115,L01-0651,T05,6.98,CFU/mL,AN12,2024-01-27
RES008116,L01-0652,T01,0.9595,%,AN11,2024-01-27
RES008117,L01-0652,T02,7.1502,pH units,AN11,2024-01-27
RES008118,L01-0652,T03,116.6278,cP,AN11,2024-01-27
RES008119,L01-0652,T04,80.25,particles/mL,AN11,2024-01-27
RES008120,L01-0652,T05,6.25,CFU/mL,AN11,2024-01-27
RES008121,L01-0653,T01,0.9231,%,AN01,2024-01-27
RES008122,L01-0653,T02,7.0388,pH units,AN01,2024-01-27
RES008123,L01-0653,T03,110.9248,cP,AN01,2024-01-27
RES008124,L01-0653,T04,0.0,particles/mL,AN01,2024-01-27
RES008125,L01-0653,T05,0.04,CFU/mL,AN01,2024-01-27
RES008126,L01-0654,T01,1.0291,%,AN07,2024-01-27
RES008127,L01-0654,T02,6.9031,pH units,AN07,2024-01-27
RES008128,L01-0654,T03,126.3391,cP,AN07,2024-01-27
RES008129,L01-0654,T04,46.3,particles/mL,AN07,2024-01-27
RES008130,L01-0654,T05,4.66,CFU/mL,AN07,2024-01-27
RES008131,L01-0655,T01,1.0554,%,AN08,2024-01-28
RES008132,L01-0655,T02,6.9397,pH units,AN08,2024-01-28
RES008133,L01-0655,T03,99.7873,cP,AN08,2024-01-28
RES008134,L01-0655,T04,66.42,particles/mL,AN08,2024-01-28
RES008135,L01-0655,T05,2.47,CFU/mL,AN08,2024-01-28
RES008136,L01-0656,T01,1.0029,%,AN02,2024-01-29
RES008137,L01-0656,T02,7.1642,pH units,AN02,2024-01-29
RES008138,L01-0656,T03,114.0792,cP,AN02,2024-01-29
RES008139,L01-0656,T04,51.91,particles/mL,AN02,2024-01-29
RES008140,L01-0656,T05,6.69,CFU/mL,AN02,2024-01-29
RES008141,L02-0441,T01,0.9672,%,AN10,2024-01-28
RES008142,L02-0441,T02,7.1072,pH units,AN10,2024-01-28
RES008143,L02-0441,T03,125.2997,cP,AN10,2024-01-28
RES008144,L02-0441,T04,25.67,particles/mL,AN10,2024-01-28
RES008145,L02-0441,T05,3.7,CFU/mL,AN10,2024-01-28
RES008146,L02-0442,T01,1.1699,%,AN10,2024-01-29
RES008147,L02-0442,T02,7.1576,pH units,AN10,2024-01-29
RES008148,L02-0442,T03,132.4019,cP,AN10,2024-01-29
RES008149,L02-0442,T04,41.48,particles/mL,AN10,2024-01-29
RES008150,L02-0442,T05,0.0,CFU/mL,AN10,2024-01-29
RES008151,L02-0443,T01,1.0869,%,AN08,2024-01-28
RES008152,L02-0443,T02,6.7068,pH units,AN08,2024-01-28
RES008153,L02-0443,T03,115.8175,cP,AN08,2024-01-28
RES008154,L02-0443,T04,34.2,particles/mL,AN08,2024-01-28
RES008155,L02-0443,T05,5.68,CFU/mL,AN08,2024-01-28
RES008156,L02-0444,T01,1.0281,%,AN06,2024-01-28
RES008157,L02-0444,T02,7.04,pH units,AN06,2024-01-28
RES008158,L02-0444,T03,110.2951,cP,AN06,2024-01-28
RES008159,L02-0444,T04,70.1,particles/mL,AN06,2024-01-28
RES008160,L02-0444,T05,4.16,CFU/mL,AN06,2024-01-28
RES008161,L02-0445,T01,1.0232,%,AN06,2024-01-29
RES008162,L02-0445,T02,7.1897,pH units,AN06,2024-01-29
RES008163,L02-0445,T03,130.745,cP,AN06,2024-01-29
RES008164,L02-0445,T04,47.57,particles/mL,AN06,2024-01-29
RES008165,L02-0445,T05,4.37,CFU/mL,AN06,2024-01-29
RES008166,L02-0446,T01,0.9506,%,AN03,2024-01-27
RES008167,L02-0446,T02,6.9778,pH units,AN03,2024-01-27
RES008168,L02-0446,T03,120.0031,cP,AN03,2024-01-27
RES008169,L02-0446,T04,28.65,particles/mL,AN03,2024-01-27
RES008170,L02-0446,T05,7.02,CFU/mL,AN03,2024-01-27
RES008171,L02-0447,T01,0.9466,%,AN01,2024-01-28
RES008172,L02-0447,T02,7.3147,pH units,AN01,2024-01-28
RES008173,L02-0447,T03,122.3471,cP,AN01,2024-01-28
RES008174,L02-0447,T04,20.21,particles/mL,AN01,2024-01-28
RES008175,L02-0447,T05,10.69,CFU/mL,AN01,2024-01-28
RES008176,L02-0448,T01,0.9853,%,AN13,2024-01-26
RES008177,L02-0448,T02,6.8757,pH units,AN13,2024-01-26
RES008178,L02-0448,T03,123.6363,cP,AN13,2024-01-26
RES008179,L02-0448,T04,69.48,particles/mL,AN13,2024-01-26
RES008180,L02-0448,T05,4.57,CFU/mL,AN13,2024-01-26
RES008181,L02-0449,T01,0.8913,%,AN06,2024-01-29
RES008182,L02-0449,T02,6.8926,pH units,AN06,2024-01-29
RES008183,L02-0449,T03,112.8525,cP,AN06,2024-01-29
RES008184,L02-0449,T04,10.36,particles/mL,AN06,2024-01-29
RES008185,L02-0449,T05,10.01,CFU/mL,AN06,2024-01-29
RES008186,L02-0450,T01,1.0405,%,AN13,2024-01-27
RES008187,L02-0450,T02,7.0399,pH units,AN13,2024-01-27
RES008188,L02-0450,T03,120.5211,cP,AN13,2024-01-27
RES008189,L02-0450,T04,11.63,particles/mL,AN13,2024-01-27
RES008190,L02-0450,T05,5.17,CFU/mL,AN13,2024-01-27
RES008191,L02-0451,T01,0.869,%,AN12,2024-01-27
RES008192,L02-0451,T02,7.1065,pH units,AN12,2024-01-27
RES008193,L02-0451,T03,114.6555,cP,AN12,2024-01-27
RES008194,L02-0451,T04,73.54,particles/mL,AN12,2024-01-27
RES008195,L02-0451,T05,7.91,CFU/mL,AN12,2024-01-27
RES008196,L02-0452,T01,1.057,%,AN02,2024-01-29
RES008197,L02-0452,T02,6.9808,pH units,AN02,2024-01-29
RES008198,L02-0452,T03,105.7734,cP,AN02,2024-01-29
RES008199,L02-0452,T04,42.19,particles/mL,AN02,2024-01-29
RES008200,L02-0452,T05,6.44,CFU/mL,AN02,2024-01-29
RES008201,L02-0453,T01,0.836,%,AN11,2024-01-27
RES008202,L02-0453,T02,7.1382,pH units,AN11,2024-01-27
RES008203,L02-0453,T03,108.2987,cP,AN11,2024-01-27
RES008204,L02-0453,T04,56.97,particles/mL,AN11,2024-01-27
RES008205,L02-0453,T05,6.31,CFU/mL,AN11,2024-01-27
RES008206,L02-0454,T01,0.9882,%,AN02,2024-01-27
RES008207,L02-0454,T02,7.0436,pH units,AN02,2024-01-27
RES008208,L02-0454,T03,120.1565,cP,AN02,2024-01-27
RES008209,L02-0454,T04,64.87,particles/mL,AN02,2024-01-27
RES008210,L02-0454,T05,7.81,CFU/mL,AN02,2024-01-27
RES008211,L02-0455,T01,1.0324,%,AN08,2024-01-28
RES008212,L02-0455,T02,6.9582,pH units,AN08,2024-01-28
RES008213,L02-0455,T03,104.1262,cP,AN08,2024-01-28
RES008214,L02-0455,T04,47.17,particles/mL,AN08,2024-01-28
RES008215,L02-0455,T05,8.81,CFU/mL,AN08,2024-01-28
RES008216,L02-0456,T01,0.9311,%,AN06,2024-01-28
RES008217,L02-0456,T02,7.4279,pH units,AN06,2024-01-28
RES008218,L02-0456,T03,111.9068,cP,AN06,2024-01-28
RES008219,L02-0456,T04,41.17,particles/mL,AN06,2024-01-28
RES008220,L02-0456,T05,5.95,CFU/mL,AN06,2024-01-28
RES008221,L02-0457,T01,0.9967,%,AN06,2024-01-27
RES008222,L02-0457,T02,7.1349,pH units,AN06,2024-01-27
RES008223,L02-0457,T03,115.4386,cP,AN06,2024-01-27
RES008224,L02-0457,T04,62.94,particles/mL,AN06,2024-01-27
RES008225,L02-0457,T05,12.5,CFU/mL,AN06,2024-01-27
RES008226,L02-0458,T01,0.9873,%,AN04,2024-01-27
RES008227,L02-0458,T02,6.6987,pH units,AN04,2024-01-27
RES008228,L02-0458,T03,123.7074,cP,AN04,2024-01-27
RES008229,L02-0458,T04,42.04,particles/mL,AN04,2024-01-27
RES008230,L02-0458,T05,4.14,CFU/mL,AN04,2024-01-27
RES008231,L02-0459,T01,0.9231,%,AN12,2024-01-26
RES008232,L02-0459,T02,7.154,pH units,AN12,2024-01-26
RES008233,L02-0459,T03,120.3346,cP,AN12,2024-01-26
RES008234,L02-0459,T04,97.77,particles/mL,AN12,2024-01-26
RES008235,L02-0459,T05,6.15,CFU/mL,AN12,2024-01-26
RES008236,L02-0460,T01,1.056,%,AN06,2024-01-29
RES008237,L02-0460,T02,7.065,pH units,AN06,2024-01-29
RES008238,L02-0460,T03,139.4159,cP,AN06,2024-01-29
RES008239,L02-0460,T04,3.86,particles/mL,AN06,2024-01-29
RES008240,L02-0460,T05,2.07,CFU/mL,AN06,2024-01-29
RES008241,L02-0461,T01,0.9984,%,AN07,2024-01-28
RES008242,L02-0461,T02,7.0378,pH units,AN07,2024-01-28
RES008243,L02-0461,T03,133.7352,cP,AN07,2024-01-28
RES008244,L02-0461,T04,72.43,particles/mL,AN07,2024-01-28
RES008245,L02-0461,T05,6.38,CFU/mL,AN07,2024-01-28
RES008246,L03-0533,T01,9781.05,ppm,AN04,2024-01-28
RES008247,L03-0533,T02,7.2362,pH units,AN04,2024-01-28
RES008248,L03-0533,T03,116.9997,cP,AN04,2024-01-28
RES008249,L03-0533,T04,0.0,particles/mL,AN04,2024-01-28
RES008250,L03-0533,T05,3.34,CFU/mL,AN04,2024-01-28
RES008251,L03-0534,T01,9790.97,ppm,AN02,2024-01-27
RES008252,L03-0534,T02,7.491,pH units,AN02,2024-01-27
RES008253,L03-0534,T03,136.6271,cP,AN02,2024-01-27
RES008254,L03-0534,T04,58.37,particles/mL,AN02,2024-01-27
RES008255,L03-0534,T05,4.76,CFU/mL,AN02,2024-01-27
RES008256,L03-0535,T01,10170.56,ppm,AN05,2024-01-28
RES008257,L03-0535,T02,7.0231,pH units,AN05,2024-01-28
RES008258,L03-0535,T03,129.4031,cP,AN05,2024-01-28
RES008259,L03-0535,T04,57.12,particles/mL,AN05,2024-01-28
RES008260,L03-0535,T05,6.54,CFU/mL,AN05,2024-01-28
