employee_id,business_unit_id,event_date,event_type,documented_by,notes
EMP-0883,BU-04,2024-01-31,Performance Review Meeting,MGR-BU-04-09,Missed key deliverable deadline
EMP-0937,BU-04,2024-01-17,Coaching Session,MGR-BU-04-11,Performance below quarterly target
EMP-0064,BU-02,2024-01-20,HR Escalation,MGR-BU-02-13,Attendance and punctuality concern
EMP-0928,BU-03,2024-03-29,Coaching Session,MGR-BU-03-05,Performance below quarterly target
EMP-0888,BU-04,2024-02-24,Written Warning,MGR-BU-04-08,Attendance and punctuality concern
EMP-0211,BU-01,2024-02-08,HR Escalation,MGR-BU-01-12,Performance below quarterly target
EMP-0951,BU-03,2024-02-04,Performance Review Meeting,MGR-BU-03-09,Attendance and punctuality concern
EMP-0560,BU-02,2024-03-01,Written Warning,MGR-BU-02-12,Attendance and punctuality concern
EMP-0166,BU-04,2024-03-11,HR Escalation,MGR-BU-04-16,Attendance and punctuality concern
EMP-0386,BU-04,2024-02-03,HR Escalation,MGR-BU-04-15,Attendance and punctuality concern
EMP-0548,BU-03,2024-01-17,Performance Review Meeting,MGR-BU-03-15,Performance below quarterly target
EMP-0934,BU-02,2024-03-09,HR Escalation,MGR-BU-02-12,Attendance and punctuality concern
EMP-0302,BU-02,2024-01-31,HR Escalation,MGR-BU-02-13,Missed key deliverable deadline
EMP-0840,BU-04,2024-02-05,HR Escalation,MGR-BU-04-14,Missed key deliverable deadline
EMP-0033,BU-04,2024-03-02,Coaching Session,MGR-BU-04-17,Performance below quarterly target
EMP-0809,BU-02,2024-03-06,Written Warning,MGR-BU-02-18,Missed key deliverable deadline
EMP-0596,BU-01,2024-03-01,HR Escalation,MGR-BU-01-08,Second documented incident within the quarter
EMP-0596,BU-01,2024-03-17,Written Warning,MGR-BU-01-08,Pattern of missed targets across multiple weeks
EMP-0553,BU-02,2024-01-05,HR Escalation,MGR-BU-02-13,Pattern of missed targets across multiple weeks
EMP-0553,BU-02,2024-03-14,HR Escalation,MGR-BU-02-13,Second documented incident within the quarter
EMP-0759,BU-04,2024-01-17,Coaching Session,MGR-BU-04-16,Pattern of missed targets across multiple weeks
EMP-0759,BU-04,2024-02-14,Written Warning,MGR-BU-04-16,Second documented incident within the quarter
EMP-0759,BU-04,2024-02-24,Performance Review Meeting,MGR-BU-04-16,Pattern of missed targets across multiple weeks
EMP-0247,BU-02,2024-01-19,HR Escalation,MGR-BU-02-05,Continued underperformance despite prior coaching
EMP-0247,BU-02,2024-01-27,Coaching Session,MGR-BU-02-05,Continued underperformance despite prior coaching
EMP-0273,BU-04,2024-02-10,Coaching Session,MGR-BU-04-02,Pattern of missed targets across multiple weeks
EMP-0273,BU-04,2024-03-26,Coaching Session,MGR-BU-04-02,Pattern of missed targets across multiple weeks
EMP-0809,BU-03,2024-01-07,Coaching Session,MGR-BU-03-07,Second documented incident within the quarter
EMP-0809,BU-03,2024-01-14,Performance Review Meeting,MGR-BU-03-07,Continued underperformance despite prior coaching
EMP-0809,BU-03,2024-01-18,Written Warning,MGR-BU-03-07,Second documented incident within the quarter
EMP-0216,BU-01,2024-02-13,Coaching Session,MGR-BU-01-14,Continued underperformance despite prior coaching
EMP-0216,BU-01,2024-02-15,Coaching Session,MGR-BU-01-14,Continued underperformance despite prior coaching
EMP-0216,BU-01,2024-03-25,Performance Review Meeting,MGR-BU-01-14,Continued underperformance despite prior coaching
EMP-0824,BU-01,2024-03-05,Performance Review Meeting,MGR-BU-01-07,Continued underperformance despite prior coaching
EMP-0824,BU-01,2024-03-07,Coaching Session,MGR-BU-01-07,Second documented incident within the quarter
EMP-0824,BU-01,2024-03-09,HR Escalation,MGR-BU-01-07,Second documented incident within the quarter
EMP-0792,BU-04,2024-01-18,Coaching Session,MGR-BU-04-13,Second documented incident within the quarter
EMP-0792,BU-04,2024-02-14,Coaching Session,MGR-BU-04-13,Continued underperformance despite prior coaching
EMP-0792,BU-04,2024-03-15,HR Escalation,MGR-BU-04-13,Second documented incident within the quarter
EMP-0542,BU-03,2024-02-16,HR Escalation,MGR-BU-03-05,Second documented incident within the quarter
EMP-0542,BU-03,2024-03-28,Coaching Session,MGR-BU-03-05,Continued underperformance despite prior coaching
EMP-0542,BU-03,2024-03-29,Written Warning,MGR-BU-03-05,Continued underperformance despite prior coaching
EMP-0502,BU-03,2024-03-16,Coaching Session,MGR-BU-03-06,Second documented incident within the quarter
EMP-0502,BU-03,2024-03-17,HR Escalation,MGR-BU-03-06,Pattern of missed targets across multiple weeks
EMP-0536,BU-04,2024-02-15,Performance Review Meeting,MGR-BU-04-01,Continued underperformance despite prior coaching
EMP-0536,BU-04,2024-03-05,Written Warning,MGR-BU-04-01,Second documented incident within the quarter
EMP-0232,BU-02,2024-01-18,Coaching Session,MGR-BU-02-04,Continued underperformance despite prior coaching
EMP-0232,BU-02,2024-03-28,HR Escalation,MGR-BU-02-04,Continued underperformance despite prior coaching
EMP-0238,BU-01,2024-01-21,HR Escalation,MGR-BU-01-02,Pattern of missed targets across multiple weeks
EMP-0238,BU-01,2024-02-19,Written Warning,MGR-BU-01-02,Pattern of missed targets across multiple weeks
EMP-0238,BU-01,2024-03-14,Written Warning,MGR-BU-01-02,Second documented incident within the quarter
EMP-0300,BU-03,2024-01-22,Coaching Session,MGR-BU-03-08,Pattern of missed targets across multiple weeks
EMP-0300,BU-03,2024-02-21,Written Warning,MGR-BU-03-08,Second documented incident within the quarter
EMP-0300,BU-03,2024-02-25,Performance Review Meeting,MGR-BU-03-08,Continued underperformance despite prior coaching
EMP-0716,BU-01,2024-03-04,Written Warning,MGR-BU-01-03,Pattern of missed targets across multiple weeks
EMP-0716,BU-01,2024-03-12,Performance Review Meeting,MGR-BU-01-03,Pattern of missed targets across multiple weeks
EMP-0067,BU-01,2024-02-24,Performance Review Meeting,MGR-BU-01-08,Second documented incident within the quarter
EMP-0067,BU-01,2024-03-05,Coaching Session,MGR-BU-01-08,Pattern of missed targets across multiple weeks
EMP-0508,BU-04,2024-03-10,Written Warning,MGR-BU-04-06,Continued underperformance despite prior coaching
EMP-0508,BU-04,2024-03-16,Written Warning,MGR-BU-04-06,Pattern of missed targets across multiple weeks
EMP-0508,BU-04,2024-03-31,Written Warning,MGR-BU-04-06,Pattern of missed targets across multiple weeks
EMP-0269,BU-04,2024-01-24,HR Escalation,MGR-BU-04-11,Second documented incident within the quarter
EMP-0269,BU-04,2024-02-15,HR Escalation,MGR-BU-04-11,Pattern of missed targets across multiple weeks
EMP-0874,BU-04,2024-03-06,Performance Review Meeting,MGR-BU-04-20,Continued underperformance despite prior coaching
EMP-0874,BU-04,2024-03-27,Written Warning,MGR-BU-04-20,Pattern of missed targets across multiple weeks
EMP-0671,BU-01,2024-02-02,HR Escalation,MGR-BU-01-10,Pattern of missed targets across multiple weeks
EMP-0671,BU-01,2024-02-04,Coaching Session,MGR-BU-01-10,Continued underperformance despite prior coaching
EMP-0671,BU-01,2024-02-26,HR Escalation,MGR-BU-01-10,Second documented incident within the quarter
EMP-0062,BU-04,2024-01-06,Coaching Session,MGR-BU-04-01,Continued underperformance despite prior coaching
EMP-0062,BU-04,2024-01-26,HR Escalation,MGR-BU-04-01,Continued underperformance despite prior coaching
EMP-0702,BU-01,2024-01-03,HR Escalation,MGR-BU-01-14,Continued underperformance despite prior coaching
EMP-0702,BU-01,2024-01-10,Coaching Session,MGR-BU-01-14,Continued underperformance despite prior coaching
EMP-0702,BU-01,2024-03-06,HR Escalation,MGR-BU-01-14,Continued underperformance despite prior coaching
EMP-0729,BU-04,2024-02-22,HR Escalation,MGR-BU-04-15,Continued underperformance despite prior coaching
EMP-0729,BU-04,2024-03-27,Performance Review Meeting,MGR-BU-04-15,Second documented incident within the quarter
EMP-0934,BU-03,2024-01-12,Coaching Session,MGR-BU-03-11,Second documented incident within the quarter
EMP-0934,BU-03,2024-02-29,Performance Review Meeting,MGR-BU-03-11,Second documented incident within the quarter
EMP-0934,BU-03,2024-03-06,Performance Review Meeting,MGR-BU-03-11,Continued underperformance despite prior coaching
EMP-0822,BU-02,2024-01-15,Written Warning,MGR-BU-02-07,Continued underperformance despite prior coaching
EMP-0822,BU-02,2024-03-18,Performance Review Meeting,MGR-BU-02-07,Pattern of missed targets across multiple weeks
EMP-0822,BU-02,2024-03-22,HR Escalation,MGR-BU-02-07,Continued underperformance despite prior coaching
EMP-0897,BU-02,2024-02-04,Written Warning,MGR-BU-02-17,Pattern of missed targets across multiple weeks
EMP-0897,BU-02,2024-02-12,Performance Review Meeting,MGR-BU-02-17,Continued underperformance despite prior coaching
EMP-0897,BU-02,2024-03-16,HR Escalation,MGR-BU-02-17,Pattern of missed targets across multiple weeks
EMP-0471,BU-02,2024-01-05,Written Warning,MGR-BU-02-07,Second documented incident within the quarter
EMP-0471,BU-02,2024-01-09,Performance Review Meeting,MGR-BU-02-07,Continued underperformance despite prior coaching
EMP-0471,BU-02,2024-02-04,HR Escalation,MGR-BU-02-07,Pattern of missed targets across multiple weeks
EMP-0898,BU-04,2024-01-22,Written Warning,MGR-BU-04-16,Continued underperformance despite prior coaching
EMP-0898,BU-04,2024-01-26,Performance Review Meeting,MGR-BU-04-16,Pattern of missed targets across multiple weeks
EMP-0898,BU-04,2024-03-29,Performance Review Meeting,MGR-BU-04-16,Pattern of missed targets across multiple weeks
EMP-0184,BU-03,2024-01-20,Written Warning,MGR-BU-03-04,Pattern of missed targets across multiple weeks
EMP-0184,BU-03,2024-03-03,Written Warning,MGR-BU-03-04,Pattern of missed targets across multiple weeks
EMP-0834,BU-02,2024-01-30,Coaching Session,MGR-BU-02-03,Second documented incident within the quarter
EMP-0834,BU-02,2024-03-30,Coaching Session,MGR-BU-02-03,Pattern of missed targets across multiple weeks
EMP-0605,BU-01,2024-01-16,Performance Review Meeting,MGR-BU-01-04,Pattern of missed targets across multiple weeks
EMP-0605,BU-01,2024-02-03,Performance Review Meeting,MGR-BU-01-04,Second documented incident within the quarter
EMP-0661,BU-01,2024-03-10,Written Warning,MGR-BU-01-10,Second documented incident within the quarter
EMP-0661,BU-01,2024-03-15,Coaching Session,MGR-BU-01-10,Continued underperformance despite prior coaching
EMP-0899,BU-03,2024-02-15,Coaching Session,MGR-BU-03-10,Pattern of missed targets across multiple weeks
EMP-0899,BU-03,2024-02-27,Coaching Session,MGR-BU-03-10,Continued underperformance despite prior coaching
EMP-0475,BU-03,2024-02-10,Coaching Session,MGR-BU-03-08,Pattern of missed targets across multiple weeks
EMP-0475,BU-03,2024-02-11,Written Warning,MGR-BU-03-08,Continued underperformance despite prior coaching
EMP-0475,BU-03,2024-03-28,Performance Review Meeting,MGR-BU-03-08,Second documented incident within the quarter
EMP-0231,BU-02,2024-01-14,Written Warning,MGR-BU-02-20,Pattern of missed targets across multiple weeks
EMP-0231,BU-02,2024-01-24,HR Escalation,MGR-BU-02-20,Continued underperformance despite prior coaching
EMP-0231,BU-02,2024-02-20,HR Escalation,MGR-BU-02-20,Second documented incident within the quarter
EMP-0657,BU-02,2024-01-14,Written Warning,MGR-BU-02-20,Second documented incident within the quarter
EMP-0657,BU-02,2024-02-01,HR Escalation,MGR-BU-02-20,Second documented incident within the quarter
EMP-0657,BU-02,2024-03-30,HR Escalation,MGR-BU-02-20,Second documented incident within the quarter
EMP-0948,BU-02,2024-01-08,Written Warning,MGR-BU-02-12,Second documented incident within the quarter
EMP-0948,BU-02,2024-02-29,HR Escalation,MGR-BU-02-12,Continued underperformance despite prior coaching
EMP-0948,BU-02,2024-03-04,Written Warning,MGR-BU-02-12,Pattern of missed targets across multiple weeks
EMP-0630,BU-01,2024-01-24,Performance Review Meeting,MGR-BU-01-03,Continued underperformance despite prior coaching
EMP-0630,BU-01,2024-02-20,Performance Review Meeting,MGR-BU-01-03,Second documented incident within the quarter
EMP-0750,BU-01,2024-01-12,HR Escalation,MGR-BU-01-09,Continued underperformance despite prior coaching
EMP-0750,BU-01,2024-01-25,HR Escalation,MGR-BU-01-09,Second documented incident within the quarter
EMP-0521,BU-03,2024-02-22,Performance Review Meeting,MGR-BU-03-07,Continued underperformance despite prior coaching
EMP-0521,BU-03,2024-03-08,Performance Review Meeting,MGR-BU-03-07,Continued underperformance despite prior coaching
EMP-0965,BU-04,2024-01-31,HR Escalation,MGR-BU-04-19,Second documented incident within the quarter
EMP-0965,BU-04,2024-03-06,Written Warning,MGR-BU-04-19,Pattern of missed targets across multiple weeks
EMP-0965,BU-04,2024-03-08,Performance Review Meeting,MGR-BU-04-19,Continued underperformance despite prior coaching
EMP-0399,BU-02,2024-02-29,Performance Review Meeting,MGR-BU-02-01,Continued underperformance despite prior coaching
EMP-0399,BU-02,2024-03-01,Written Warning,MGR-BU-02-01,Second documented incident within the quarter
EMP-0220,BU-04,2024-01-24,Coaching Session,MGR-BU-04-08,Second documented incident within the quarter
EMP-0220,BU-04,2024-03-03,Coaching Session,MGR-BU-04-08,Pattern of missed targets across multiple weeks
EMP-0004,BU-04,2024-01-02,Coaching Session,MGR-BU-04-02,Continued underperformance despite prior coaching
EMP-0004,BU-04,2024-03-11,Coaching Session,MGR-BU-04-02,Continued underperformance despite prior coaching
EMP-0004,BU-04,2024-03-19,Performance Review Meeting,MGR-BU-04-02,Continued underperformance despite prior coaching
EMP-0154,BU-04,2024-01-01,Performance Review Meeting,MGR-BU-04-01,Continued underperformance despite prior coaching
EMP-0154,BU-04,2024-01-07,Written Warning,MGR-BU-04-01,Continued underperformance despite prior coaching
EMP-0154,BU-04,2024-03-29,Written Warning,MGR-BU-04-01,Second documented incident within the quarter
EMP-0112,BU-04,2024-02-11,Coaching Session,MGR-BU-04-14,Pattern of missed targets across multiple weeks
EMP-0112,BU-04,2024-02-23,Written Warning,MGR-BU-04-14,Pattern of missed targets across multiple weeks
EMP-0799,BU-02,2024-01-10,HR Escalation,MGR-BU-02-16,Pattern of missed targets across multiple weeks
EMP-0799,BU-02,2024-01-26,HR Escalation,MGR-BU-02-16,Second documented incident within the quarter
EMP-0428,BU-02,2024-03-22,Written Warning,MGR-BU-02-18,Second documented incident within the quarter
EMP-0428,BU-02,2024-03-30,Coaching Session,MGR-BU-02-18,Second documented incident within the quarter
EMP-0580,BU-03,2024-01-01,HR Escalation,MGR-BU-03-17,Continued underperformance despite prior coaching
EMP-0580,BU-03,2024-01-07,HR Escalation,MGR-BU-03-17,Second documented incident within the quarter
EMP-0580,BU-03,2024-02-06,Performance Review Meeting,MGR-BU-03-17,Pattern of missed targets across multiple weeks
EMP-0230,BU-04,2024-01-19,Written Warning,MGR-BU-04-01,Pattern of missed targets across multiple weeks
EMP-0230,BU-04,2024-03-24,Performance Review Meeting,MGR-BU-04-01,Continued underperformance despite prior coaching
EMP-0353,BU-04,2024-02-10,Coaching Session,MGR-BU-04-06,Pattern of missed targets across multiple weeks
EMP-0353,BU-04,2024-03-27,Written Warning,MGR-BU-04-06,Continued underperformance despite prior coaching
EMP-0408,BU-01,2024-02-17,HR Escalation,MGR-BU-01-11,Pattern of missed targets across multiple weeks
EMP-0408,BU-01,2024-03-25,Written Warning,MGR-BU-01-11,Continued underperformance despite prior coaching
EMP-0328,BU-03,2024-02-17,HR Escalation,MGR-BU-03-13,Pattern of missed targets across multiple weeks
EMP-0328,BU-03,2024-02-19,Written Warning,MGR-BU-03-13,Second documented incident within the quarter
EMP-0328,BU-03,2024-03-12,Written Warning,MGR-BU-03-13,Pattern of missed targets across multiple weeks
EMP-0444,BU-03,2024-01-26,Coaching Session,MGR-BU-03-12,Continued underperformance despite prior coaching
EMP-0444,BU-03,2024-03-10,HR Escalation,MGR-BU-03-12,Second documented incident within the quarter
EMP-0916,BU-01,2024-02-08,Written Warning,MGR-BU-01-17,Pattern of missed targets across multiple weeks
EMP-0916,BU-01,2024-03-02,HR Escalation,MGR-BU-01-17,Second documented incident within the quarter
EMP-0916,BU-01,2024-03-13,HR Escalation,MGR-BU-01-17,Pattern of missed targets across multiple weeks
EMP-0323,BU-04,2024-01-05,Performance Review Meeting,MGR-BU-04-16,Continued underperformance despite prior coaching
EMP-0323,BU-04,2024-03-23,Written Warning,MGR-BU-04-16,Continued underperformance despite prior coaching
EMP-0385,BU-01,2024-01-24,Coaching Session,MGR-BU-01-13,Continued underperformance despite prior coaching
EMP-0385,BU-01,2024-03-30,Coaching Session,MGR-BU-01-13,Continued underperformance despite prior coaching
EMP-0584,BU-03,2024-01-22,Coaching Session,MGR-BU-03-02,Second documented incident within the quarter
EMP-0584,BU-03,2024-03-14,Performance Review Meeting,MGR-BU-03-02,Continued underperformance despite prior coaching
EMP-0172,BU-02,2024-01-11,Written Warning,MGR-BU-02-11,Pattern of missed targets across multiple weeks
EMP-0172,BU-02,2024-01-13,Written Warning,MGR-BU-02-11,Continued underperformance despite prior coaching
EMP-0172,BU-02,2024-03-07,HR Escalation,MGR-BU-02-11,Continued underperformance despite prior coaching
EMP-0016,BU-01,2024-01-02,Written Warning,MGR-BU-01-10,Pattern of missed targets across multiple weeks
EMP-0016,BU-01,2024-01-28,Performance Review Meeting,MGR-BU-01-10,Second documented incident within the quarter
EMP-0566,BU-01,2024-02-08,Coaching Session,MGR-BU-01-04,Continued underperformance despite prior coaching
EMP-0566,BU-01,2024-02-27,Performance Review Meeting,MGR-BU-01-04,Continued underperformance despite prior coaching
EMP-0335,BU-02,2024-01-22,Written Warning,MGR-BU-02-13,Continued underperformance despite prior coaching
EMP-0335,BU-02,2024-02-29,HR Escalation,MGR-BU-02-13,Pattern of missed targets across multiple weeks
EMP-0335,BU-02,2024-03-03,Performance Review Meeting,MGR-BU-02-13,Continued underperformance despite prior coaching
EMP-0682,BU-01,2024-01-08,Performance Review Meeting,MGR-BU-01-04,Continued underperformance despite prior coaching
EMP-0682,BU-01,2024-01-22,HR Escalation,MGR-BU-01-04,Second documented incident within the quarter
EMP-0682,BU-01,2024-02-29,Performance Review Meeting,MGR-BU-01-04,Continued underperformance despite prior coaching
EMP-0035,BU-03,2024-01-03,Performance Review Meeting,MGR-BU-03-06,Continued underperformance despite prior coaching
EMP-0035,BU-03,2024-01-18,Written Warning,MGR-BU-03-06,Pattern of missed targets across multiple weeks
EMP-0130,BU-01,2024-01-14,Coaching Session,MGR-BU-01-16,Pattern of missed targets across multiple weeks
EMP-0130,BU-01,2024-03-15,Written Warning,MGR-BU-01-16,Pattern of missed targets across multiple weeks
EMP-0746,BU-01,2024-01-27,Written Warning,MGR-BU-01-09,Second documented incident within the quarter
EMP-0746,BU-01,2024-02-17,Coaching Session,MGR-BU-01-09,Second documented incident within the quarter
EMP-0299,BU-04,2024-02-20,Coaching Session,MGR-BU-04-08,Continued underperformance despite prior coaching
EMP-0299,BU-04,2024-03-20,Coaching Session,MGR-BU-04-08,Continued underperformance despite prior coaching
EMP-0822,BU-04,2024-01-07,HR Escalation,MGR-BU-04-09,Second documented incident within the quarter
EMP-0822,BU-04,2024-01-22,HR Escalation,MGR-BU-04-09,Second documented incident within the quarter
EMP-0822,BU-04,2024-02-13,Written Warning,MGR-BU-04-09,Pattern of missed targets across multiple weeks
EMP-0950,BU-04,2024-02-21,Performance Review Meeting,MGR-BU-04-05,Continued underperformance despite prior coaching
EMP-0950,BU-04,2024-03-24,HR Escalation,MGR-BU-04-05,Pattern of missed targets across multiple weeks
EMP-0950,BU-04,2024-03-29,Performance Review Meeting,MGR-BU-04-05,Second documented incident within the quarter
EMP-0046,BU-03,2024-02-24,Performance Review Meeting,MGR-BU-03-08,Second documented incident within the quarter
EMP-0046,BU-03,2024-03-29,Performance Review Meeting,MGR-BU-03-08,Continued underperformance despite prior coaching
EMP-0304,BU-03,2024-03-07,HR Escalation,MGR-BU-03-03,Pattern of missed targets across multiple weeks
EMP-0304,BU-03,2024-03-19,Written Warning,MGR-BU-03-03,Pattern of missed targets across multiple weeks
EMP-0304,BU-03,2024-03-21,Coaching Session,MGR-BU-03-03,Pattern of missed targets across multiple weeks
EMP-0443,BU-02,2024-02-01,Performance Review Meeting,MGR-BU-02-13,Pattern of missed targets across multiple weeks
EMP-0443,BU-02,2024-02-20,Coaching Session,MGR-BU-02-13,Continued underperformance despite prior coaching
EMP-0145,BU-01,2024-01-14,Coaching Session,MGR-BU-01-10,Pattern of missed targets across multiple weeks
EMP-0145,BU-01,2024-03-05,HR Escalation,MGR-BU-01-10,Continued underperformance despite prior coaching
EMP-0145,BU-01,2024-03-26,Performance Review Meeting,MGR-BU-01-10,Pattern of missed targets across multiple weeks
EMP-0992,BU-03,2024-01-20,HR Escalation,MGR-BU-03-12,Second documented incident within the quarter
EMP-0992,BU-03,2024-01-26,Written Warning,MGR-BU-03-12,Second documented incident within the quarter
EMP-0992,BU-03,2024-01-29,HR Escalation,MGR-BU-03-12,Second documented incident within the quarter
EMP-0586,BU-01,2024-01-30,Coaching Session,MGR-BU-01-20,Pattern of missed targets across multiple weeks
EMP-0586,BU-01,2024-02-06,Coaching Session,MGR-BU-01-20,Continued underperformance despite prior coaching
EMP-0586,BU-01,2024-03-06,HR Escalation,MGR-BU-01-20,Second documented incident within the quarter
EMP-0117,BU-03,2024-02-17,Performance Review Meeting,MGR-BU-03-05,Second documented incident within the quarter
EMP-0117,BU-03,2024-03-01,Written Warning,MGR-BU-03-05,Pattern of missed targets across multiple weeks
EMP-0060,BU-01,2024-02-14,Written Warning,MGR-BU-01-15,Pattern of missed targets across multiple weeks
EMP-0060,BU-01,2024-03-28,Coaching Session,MGR-BU-01-15,Second documented incident within the quarter
EMP-0566,BU-04,2024-01-17,Coaching Session,MGR-BU-04-08,Pattern of missed targets across multiple weeks
EMP-0566,BU-04,2024-02-02,Performance Review Meeting,MGR-BU-04-08,Second documented incident within the quarter
EMP-0618,BU-02,2024-02-16,HR Escalation,MGR-BU-02-15,Second documented incident within the quarter
EMP-0618,BU-02,2024-02-29,Performance Review Meeting,MGR-BU-02-15,Continued underperformance despite prior coaching
EMP-0618,BU-02,2024-03-06,HR Escalation,MGR-BU-02-15,Second documented incident within the quarter
EMP-0554,BU-04,2024-01-07,Written Warning,MGR-BU-04-13,Continued underperformance despite prior coaching
EMP-0554,BU-04,2024-02-19,HR Escalation,MGR-BU-04-13,Continued underperformance despite prior coaching
EMP-0554,BU-04,2024-02-21,Coaching Session,MGR-BU-04-13,Second documented incident within the quarter
EMP-0855,BU-03,2024-01-14,Performance Review Meeting,MGR-BU-03-11,Pattern of missed targets across multiple weeks
EMP-0855,BU-03,2024-01-21,Coaching Session,MGR-BU-03-11,Second documented incident within the quarter
EMP-0855,BU-03,2024-02-28,HR Escalation,MGR-BU-03-11,Continued underperformance despite prior coaching
EMP-0532,BU-01,2024-01-23,Performance Review Meeting,MGR-BU-01-14,Second documented incident within the quarter
EMP-0532,BU-01,2024-03-05,Written Warning,MGR-BU-01-14,Continued underperformance despite prior coaching
EMP-0532,BU-01,2024-03-16,Coaching Session,MGR-BU-01-14,Second documented incident within the quarter
EMP-0526,BU-02,2024-01-29,Written Warning,MGR-BU-02-03,Continued underperformance despite prior coaching
EMP-0526,BU-02,2024-02-05,Coaching Session,MGR-BU-02-03,Pattern of missed targets across multiple weeks
EMP-0526,BU-02,2024-02-13,Coaching Session,MGR-BU-02-03,Pattern of missed targets across multiple weeks
EMP-0038,BU-02,2024-01-24,Performance Review Meeting,MGR-BU-02-09,Pattern of missed targets across multiple weeks
EMP-0038,BU-02,2024-03-09,Coaching Session,MGR-BU-02-09,Continued underperformance despite prior coaching
EMP-0038,BU-02,2024-03-18,Performance Review Meeting,MGR-BU-02-09,Continued underperformance despite prior coaching
EMP-0026,BU-01,2024-01-12,Written Warning,MGR-BU-01-19,Continued underperformance despite prior coaching
EMP-0026,BU-01,2024-03-08,Performance Review Meeting,MGR-BU-01-19,Continued underperformance despite prior coaching
EMP-0026,BU-01,2024-03-27,Performance Review Meeting,MGR-BU-01-19,Pattern of missed targets across multiple weeks
EMP-0011,BU-04,2024-03-21,Coaching Session,MGR-BU-04-08,Second documented incident within the quarter
EMP-0011,BU-04,2024-03-27,Coaching Session,MGR-BU-04-08,Second documented incident within the quarter
EMP-0821,BU-03,2024-01-08,Written Warning,MGR-BU-03-15,Pattern of missed targets across multiple weeks
EMP-0821,BU-03,2024-01-31,Written Warning,MGR-BU-03-15,Continued underperformance despite prior coaching
EMP-0041,BU-01,2024-01-25,Coaching Session,MGR-BU-01-03,Continued underperformance despite prior coaching
EMP-0041,BU-01,2024-02-11,Performance Review Meeting,MGR-BU-01-03,Pattern of missed targets across multiple weeks
EMP-0120,BU-02,2024-02-13,Performance Review Meeting,MGR-BU-02-12,Continued underperformance despite prior coaching
EMP-0120,BU-02,2024-03-05,Coaching Session,MGR-BU-02-12,Continued underperformance despite prior coaching
EMP-0120,BU-02,2024-03-10,HR Escalation,MGR-BU-02-12,Continued underperformance despite prior coaching
EMP-0691,BU-04,2024-01-13,HR Escalation,MGR-BU-04-09,Pattern of missed targets across multiple weeks
EMP-0691,BU-04,2024-02-06,Performance Review Meeting,MGR-BU-04-09,Second documented incident within the quarter
EMP-0691,BU-04,2024-03-16,Coaching Session,MGR-BU-04-09,Pattern of missed targets across multiple weeks
EMP-0050,BU-02,2024-01-03,HR Escalation,MGR-BU-02-13,Pattern of missed targets across multiple weeks
EMP-0050,BU-02,2024-03-16,Coaching Session,MGR-BU-02-13,Continued underperformance despite prior coaching
EMP-0050,BU-02,2024-03-26,Performance Review Meeting,MGR-BU-02-13,Continued underperformance despite prior coaching
EMP-0185,BU-01,2024-01-31,Written Warning,MGR-BU-01-07,Continued underperformance despite prior coaching
EMP-0185,BU-01,2024-02-29,HR Escalation,MGR-BU-01-07,Pattern of missed targets across multiple weeks
EMP-0185,BU-01,2024-03-24,HR Escalation,MGR-BU-01-07,Continued underperformance despite prior coaching
EMP-0521,BU-02,2024-01-21,Written Warning,MGR-BU-02-14,Pattern of missed targets across multiple weeks
EMP-0521,BU-02,2024-02-13,Written Warning,MGR-BU-02-14,Second documented incident within the quarter
EMP-0940,BU-02,2024-03-07,Written Warning,MGR-BU-02-02,Pattern of missed targets across multiple weeks
EMP-0940,BU-02,2024-03-23,Written Warning,MGR-BU-02-02,Second documented incident within the quarter
EMP-0664,BU-01,2024-01-10,Coaching Session,MGR-BU-01-11,Pattern of missed targets across multiple weeks
EMP-0664,BU-01,2024-03-29,Performance Review Meeting,MGR-BU-01-11,Second documented incident within the quarter
EMP-0664,BU-01,2024-03-31,Performance Review Meeting,MGR-BU-01-11,Second documented incident within the quarter
EMP-0481,BU-03,2024-02-22,Written Warning,MGR-BU-03-18,Continued underperformance despite prior coaching
EMP-0481,BU-03,2024-02-25,HR Escalation,MGR-BU-03-18,Continued underperformance despite prior coaching
EMP-0533,BU-02,2024-02-16,HR Escalation,MGR-BU-02-13,Pattern of missed targets across multiple weeks
EMP-0533,BU-02,2024-03-31,Written Warning,MGR-BU-02-13,Continued underperformance despite prior coaching
EMP-0513,BU-04,2024-01-18,Written Warning,MGR-BU-04-04,Continued underperformance despite prior coaching
EMP-0513,BU-04,2024-01-19,HR Escalation,MGR-BU-04-04,Pattern of missed targets across multiple weeks
EMP-0513,BU-04,2024-02-01,Performance Review Meeting,MGR-BU-04-04,Pattern of missed targets across multiple weeks
EMP-0018,BU-03,2024-03-07,HR Escalation,MGR-BU-03-14,Continued underperformance despite prior coaching
EMP-0018,BU-03,2024-03-14,HR Escalation,MGR-BU-03-14,Pattern of missed targets across multiple weeks
EMP-0936,BU-04,2024-01-08,Written Warning,MGR-BU-04-09,Continued underperformance despite prior coaching
EMP-0936,BU-04,2024-02-14,Coaching Session,MGR-BU-04-09,Pattern of missed targets across multiple weeks
EMP-0936,BU-04,2024-02-29,HR Escalation,MGR-BU-04-09,Pattern of missed targets across multiple weeks
EMP-0304,BU-04,2024-02-29,HR Escalation,MGR-BU-04-20,Pattern of missed targets across multiple weeks
