region,deal_id,rep_id,close_date,total_contract_value,currency,contract_months,product_line,deal_source,stage
EMEA,1828,R127,2023-09-19,179688.05,EUR,12,Analytics Add-on,Partner Referral,closed_won
EMEA,1829,R145,2023-10-27,73739.71,USD,12,Analytics Add-on,Outbound,closed_won
AMER,1862,R053,2023-09-25,27633.42,USD,12,Core Platform,Outbound,closed_won
AMER,1863,R050,2023-08-02,371392.67,USD,36,Enterprise Suite,Inbound,closed_won
AMER,1864,R028,2023-08-17,116145.87,CAD,24,Enterprise Suite,Partner Referral,closed_won
APAC,906,R163,2023-09-23,121457.67,USD,24,Enterprise Suite,Inbound,closed_won
APAC,907,R164,2023-10-18,274700.78,AUD,36,Enterprise Suite,Outbound,closed_lost
APAC,908,R177,2023-08-07,28610208.38,JPY,12,Enterprise Suite,Partner Referral,closed_lost
AMER,1865,R019,2023-09-02,104248.88,USD,12,Analytics Add-on,Inbound,closed_won
APAC,909,R165,2023-09-30,550537.1,AUD,36,Enterprise Suite,Inbound,closed_won
EMEA,1830,R147,2023-09-11,326628.85,USD,24,Enterprise Suite,Partner Referral,closed_won
AMER,1866,R005,2023-08-31,28834.2,USD,12,Enterprise Suite,Inbound,closed_won
EMEA,1831,R093,2023-09-16,58111.89,EUR,24,Core Platform,Partner Referral,closed_won
APAC,910,R187,2023-08-03,201150.53,AUD,12,Enterprise Suite,Partner Referral,prospecting
AMER,1867,R066,2023-10-02,506753.62,USD,36,Core Platform,Partner Referral,closed_won
EMEA,1832,R156,2023-08-19,460963.39,USD,36,Analytics Add-on,Outbound,closed_won
EMEA,1833,R128,2023-09-23,181982.99,GBP,24,Enterprise Suite,Outbound,prospecting
AMER,1868,R079,2023-08-29,151513.49,USD,12,Enterprise Suite,Outbound,prospecting
AMER,1869,R055,2023-09-14,477490.16,CAD,24,Analytics Add-on,Partner Referral,closed_won
AMER,1870,R059,2023-10-08,115420.62,USD,24,Core Platform,Inbound,closed_won
EMEA,1834,R110,2023-09-03,168630.59,USD,12,Analytics Add-on,Partner Referral,closed_won
AMER,1871,R007,2023-08-31,232908.42,USD,36,Analytics Add-on,Partner Referral,closed_won
AMER,1872,R047,2023-08-21,350538.75,CAD,24,Analytics Add-on,Inbound,closed_won
EMEA,1835,R113,2023-09-08,342630.35,USD,24,Enterprise Suite,Outbound,closed_won
EMEA,1836,R091,2023-10-16,72371.96,GBP,12,Analytics Add-on,Outbound,closed_won
AMER,1873,R040,2023-10-16,73472.97,USD,12,Analytics Add-on,Inbound,closed_won
EMEA,1837,R102,2023-10-27,81330.18,EUR,12,Core Platform,Outbound,closed_won
EMEA,1838,R097,2023-08-01,255201.66,GBP,36,Enterprise Suite,Partner Referral,closed_won
AMER,1874,R002,2023-08-04,358928.54,USD,24,Analytics Add-on,Partner Referral,closed_won
AMER,1875,R072,2023-08-27,95673.27,USD,36,Analytics Add-on,Outbound,closed_lost
AMER,1876,R073,2023-10-11,155160.62,USD,12,Analytics Add-on,Partner Referral,closed_won
EMEA,1839,R102,2023-09-08,242478.93,EUR,24,Enterprise Suite,Inbound,closed_won
EMEA,1840,R119,2023-10-06,278926.17,EUR,24,Core Platform,Partner Referral,closed_won
AMER,1877,R080,2023-09-22,24250.57,USD,12,Enterprise Suite,Inbound,closed_won
AMER,1878,R053,2023-08-26,298093.59,USD,36,Core Platform,Inbound,closed_won
EMEA,1841,R134,2023-10-19,113185.92,EUR,12,Enterprise Suite,Outbound,closed_won
AMER,1879,R015,2023-09-10,162799.66,CAD,24,Analytics Add-on,Outbound,closed_won
EMEA,1842,R146,2023-08-30,234458.43,GBP,36,Analytics Add-on,Partner Referral,prospecting
EMEA,1843,R101,2023-08-11,192600.31,EUR,24,Analytics Add-on,Partner Referral,closed_won
AMER,1880,R060,2023-10-07,526208.49,USD,36,Enterprise Suite,Partner Referral,closed_lost
EMEA,1844,R122,2023-09-11,145697.92,GBP,36,Analytics Add-on,Partner Referral,closed_won
EMEA,1845,R084,2023-08-10,241884.24,GBP,36,Enterprise Suite,Inbound,closed_won
EMEA,1846,R127,2023-10-13,370452.16,GBP,36,Enterprise Suite,Inbound,closed_won
AMER,1881,R064,2023-10-06,73282.58,USD,24,Enterprise Suite,Outbound,closed_won
APAC,911,R173,2023-08-04,50475.3,USD,24,Enterprise Suite,Inbound,closed_won
AMER,1882,R040,2023-09-26,113873.34,USD,36,Enterprise Suite,Partner Referral,closed_won
EMEA,1847,R093,2023-09-08,107513.68,EUR,12,Core Platform,Outbound,closed_won
AMER,1883,R055,2023-08-11,337971.99,USD,24,Enterprise Suite,Partner Referral,closed_won
APAC,912,R182,2023-10-19,23280537.08,JPY,12,Enterprise Suite,Partner Referral,closed_won
APAC,913,R174,2023-08-13,659484.42,AUD,36,Enterprise Suite,Inbound,closed_won
EMEA,1848,R094,2023-08-22,401846.03,GBP,36,Core Platform,Outbound,closed_won
EMEA,1849,R150,2023-10-24,243812.04,EUR,24,Analytics Add-on,Partner Referral,closed_won
AMER,1884,R037,2023-08-22,146477.93,USD,12,Core Platform,Inbound,closed_won
EMEA,1850,R150,2023-09-13,90204.89,USD,12,Core Platform,Partner Referral,closed_won
APAC,914,R167,2023-08-12,202677.54,AUD,24,Analytics Add-on,Outbound,closed_won
EMEA,1851,R082,2023-10-20,25191.04,USD,12,Enterprise Suite,Outbound,closed_won
AMER,1885,R029,2023-10-17,15788.13,USD,12,Analytics Add-on,Partner Referral,prospecting
EMEA,1852,R090,2023-08-30,32736.41,EUR,12,Core Platform,Inbound,closed_lost
EMEA,1853,R154,2023-10-11,142015.05,EUR,24,Enterprise Suite,Outbound,closed_won
APAC,915,R166,2023-08-26,23105346.53,JPY,12,Core Platform,Outbound,closed_won
AMER,1886,R006,2023-09-11,28146.87,USD,12,Enterprise Suite,Outbound,closed_lost
AMER,1887,R070,2023-08-26,48661.05,USD,36,Enterprise Suite,Inbound,closed_won
AMER,1888,R029,2023-09-18,177350.81,USD,24,Core Platform,Inbound,closed_won
AMER,1889,R019,2023-09-14,382673.28,CAD,36,Analytics Add-on,Outbound,closed_won
EMEA,1854,R149,2023-09-30,156409.74,USD,24,Enterprise Suite,Inbound,closed_won
APAC,916,R186,2023-08-25,47092930.96,JPY,24,Enterprise Suite,Inbound,closed_won
APAC,917,R174,2023-10-22,22799467.12,JPY,24,Analytics Add-on,Outbound,closed_won
EMEA,1855,R156,2023-09-05,36799.8,EUR,36,Core Platform,Outbound,closed_won
APAC,918,R173,2023-08-17,102817.17,AUD,12,Core Platform,Inbound,closed_won
AMER,1890,R027,2023-08-08,189535.37,USD,12,Core Platform,Partner Referral,prospecting
AMER,1891,R003,2023-09-22,58590.15,USD,36,Enterprise Suite,Partner Referral,prospecting
AMER,1892,R005,2023-08-22,394576.18,USD,24,Core Platform,Partner Referral,closed_won
AMER,1893,R070,2023-10-20,106868.95,USD,24,Analytics Add-on,Outbound,prospecting
APAC,919,R167,2023-09-03,14006960.09,JPY,36,Enterprise Suite,Partner Referral,closed_won
AMER,1894,R028,2023-10-05,279137.33,USD,36,Enterprise Suite,Inbound,closed_lost
AMER,1895,R059,2023-08-18,67158.08,USD,36,Analytics Add-on,Partner Referral,prospecting
EMEA,1856,R132,2023-08-15,35787.94,GBP,36,Core Platform,Partner Referral,closed_won
AMER,1896,R002,2023-08-11,186869.72,USD,24,Analytics Add-on,Outbound,prospecting
AMER,1897,R009,2023-09-28,146252.66,USD,12,Core Platform,Inbound,closed_won
AMER,1898,R033,2023-09-16,399915.56,USD,24,Analytics Add-on,Inbound,closed_won
EMEA,1857,R140,2023-08-30,149869.96,USD,36,Enterprise Suite,Outbound,closed_won
AMER,1899,R038,2023-08-03,170896.07,USD,24,Analytics Add-on,Partner Referral,closed_won
AMER,1900,R029,2023-09-25,209145.69,USD,24,Analytics Add-on,Partner Referral,closed_won
AMER,1901,R027,2023-08-09,153934.41,USD,36,Enterprise Suite,Inbound,closed_won
EMEA,1858,R106,2023-09-13,86905.22,EUR,36,Analytics Add-on,Partner Referral,closed_won
EMEA,1859,R084,2023-09-15,56861.97,EUR,12,Analytics Add-on,Outbound,closed_won
AMER,1902,R064,2023-10-16,160965.43,USD,36,Enterprise Suite,Partner Referral,closed_won
EMEA,1860,R096,2023-08-19,38777.21,GBP,12,Analytics Add-on,Inbound,closed_lost
EMEA,1861,R134,2023-09-07,71208.84,EUR,36,Enterprise Suite,Partner Referral,prospecting
AMER,1903,R051,2023-09-18,23791.66,USD,12,Enterprise Suite,Outbound,closed_won
EMEA,1862,R103,2023-10-21,94465.86,GBP,24,Analytics Add-on,Inbound,closed_won
AMER,1904,R080,2023-08-24,80717.29,USD,12,Enterprise Suite,Partner Referral,closed_lost
EMEA,1863,R134,2023-08-05,124732.18,GBP,12,Analytics Add-on,Outbound,closed_won
EMEA,1864,R141,2023-08-19,256507.55,GBP,24,Analytics Add-on,Partner Referral,closed_won
EMEA,1865,R102,2023-10-02,171605.67,EUR,12,Enterprise Suite,Inbound,closed_won
APAC,920,R184,2023-09-02,62703.53,USD,12,Enterprise Suite,Inbound,closed_won
EMEA,1866,R098,2023-10-29,279854.74,EUR,24,Analytics Add-on,Inbound,closed_won
EMEA,1867,R083,2023-10-07,292561.66,GBP,24,Core Platform,Partner Referral,closed_lost
EMEA,1868,R128,2023-09-06,61377.0,EUR,12,Analytics Add-on,Outbound,closed_won
AMER,1905,R066,2023-09-14,472563.67,USD,36,Core Platform,Inbound,prospecting
EMEA,1869,R112,2023-08-09,307511.23,EUR,24,Analytics Add-on,Outbound,closed_won
EMEA,1870,R152,2023-10-21,266875.18,EUR,24,Analytics Add-on,Partner Referral,closed_won
AMER,1906,R052,2023-09-17,222800.74,USD,36,Analytics Add-on,Partner Referral,closed_won
APAC,921,R168,2023-09-06,56508263.29,JPY,36,Enterprise Suite,Outbound,prospecting
APAC,922,R181,2023-09-11,21155557.4,JPY,12,Enterprise Suite,Outbound,closed_lost
AMER,1907,R047,2023-09-14,122790.83,USD,36,Core Platform,Partner Referral,closed_won
APAC,923,R189,2023-09-25,57665908.47,JPY,36,Enterprise Suite,Partner Referral,closed_won
EMEA,1871,R083,2023-10-14,166322.05,USD,12,Enterprise Suite,Partner Referral,prospecting
AMER,1908,R072,2023-09-16,569190.72,USD,36,Core Platform,Inbound,closed_won
EMEA,1872,R098,2023-09-28,182215.25,EUR,12,Core Platform,Partner Referral,closed_won
AMER,1909,R021,2023-09-30,277396.57,USD,24,Enterprise Suite,Inbound,closed_won
APAC,924,R191,2023-08-13,820059.64,AUD,36,Analytics Add-on,Inbound,closed_lost
EMEA,1873,R098,2023-10-12,193999.93,EUR,24,Analytics Add-on,Partner Referral,closed_won
AMER,1910,R014,2023-09-11,128206.72,USD,12,Enterprise Suite,Partner Referral,closed_won
AMER,1911,R050,2023-10-26,35874.77,USD,24,Core Platform,Inbound,closed_won
AMER,1912,R065,2023-09-10,374485.91,USD,24,Analytics Add-on,Inbound,closed_won
AMER,1913,R080,2023-09-02,124179.25,CAD,12,Core Platform,Partner Referral,closed_won
EMEA,1874,R099,2023-09-15,34852.91,EUR,24,Core Platform,Inbound,closed_won
AMER,1914,R073,2023-09-23,578540.17,USD,36,Analytics Add-on,Inbound,closed_won
AMER,1915,R061,2023-10-26,38151.58,USD,24,Core Platform,Partner Referral,prospecting
AMER,1916,R067,2023-08-10,29388.7,USD,12,Analytics Add-on,Partner Referral,closed_won
EMEA,1875,R144,2023-09-18,174805.04,USD,12,Core Platform,Outbound,closed_won
APAC,925,R200,2023-09-21,28096482.61,JPY,12,Analytics Add-on,Partner Referral,closed_won
EMEA,1876,R122,2023-09-03,195462.66,GBP,36,Analytics Add-on,Partner Referral,closed_won
AMER,1917,R074,2023-10-19,320855.49,USD,24,Analytics Add-on,Partner Referral,prospecting
AMER,1918,R013,2023-09-18,123037.9,USD,24,Enterprise Suite,Partner Referral,closed_won
AMER,1919,R040,2023-10-23,386390.79,USD,24,Analytics Add-on,Partner Referral,closed_won
EMEA,1877,R113,2023-10-25,76021.45,GBP,12,Core Platform,Inbound,closed_won
EMEA,1878,R142,2023-08-14,298303.22,EUR,36,Core Platform,Outbound,closed_won
AMER,1920,R006,2023-10-06,22502.83,USD,12,Enterprise Suite,Inbound,closed_won
EMEA,1879,R135,2023-09-22,406003.28,GBP,36,Enterprise Suite,Partner Referral,closed_won
EMEA,1880,R123,2023-09-03,52767.91,GBP,12,Enterprise Suite,Inbound,closed_won
EMEA,1881,R122,2023-10-06,546391.03,EUR,36,Core Platform,Partner Referral,closed_won
AMER,1921,R039,2023-09-04,39851.2,USD,12,Analytics Add-on,Inbound,closed_won
EMEA,1882,R117,2023-10-02,73463.03,EUR,24,Core Platform,Inbound,closed_won
EMEA,1883,R141,2023-10-15,80483.46,GBP,12,Analytics Add-on,Partner Referral,closed_won
AMER,1922,R049,2023-10-02,300947.61,USD,24,Enterprise Suite,Outbound,closed_won
AMER,1923,R033,2023-09-13,196666.73,USD,24,Core Platform,Outbound,closed_won
EMEA,1884,R110,2023-09-28,98083.35,EUR,24,Core Platform,Outbound,closed_won
AMER,1924,R020,2023-10-31,371192.8,USD,24,Core Platform,Inbound,closed_won
EMEA,1885,R130,2023-08-04,63934.22,GBP,12,Core Platform,Partner Referral,closed_won
EMEA,1886,R088,2023-10-31,151473.71,EUR,36,Enterprise Suite,Partner Referral,prospecting
EMEA,1887,R132,2023-10-22,83495.15,GBP,12,Core Platform,Inbound,closed_won
EMEA,1888,R133,2023-10-12,137494.93,GBP,12,Enterprise Suite,Partner Referral,closed_won
APAC,926,R187,2023-09-11,226048.18,AUD,12,Core Platform,Partner Referral,closed_won
EMEA,1889,R102,2023-10-16,14134.15,USD,12,Core Platform,Partner Referral,prospecting
AMER,1925,R057,2023-10-04,243151.53,USD,24,Analytics Add-on,Inbound,closed_won
AMER,1926,R017,2023-08-14,125059.63,USD,12,Core Platform,Outbound,closed_won
AMER,1927,R015,2023-08-19,218510.54,USD,24,Enterprise Suite,Outbound,closed_won
AMER,1928,R009,2023-09-06,227836.95,USD,24,Enterprise Suite,Partner Referral,closed_won
EMEA,1890,R109,2023-10-01,288570.34,EUR,24,Enterprise Suite,Inbound,closed_won
AMER,1929,R058,2023-09-25,352661.69,USD,36,Core Platform,Inbound,closed_won
APAC,927,R181,2023-09-01,581679.65,AUD,24,Analytics Add-on,Outbound,closed_won
EMEA,1891,R115,2023-08-29,137392.33,EUR,12,Core Platform,Inbound,closed_won
AMER,1930,R037,2023-09-28,92556.06,USD,12,Core Platform,Partner Referral,closed_won
AMER,1931,R025,2023-08-13,431799.22,USD,36,Analytics Add-on,Outbound,closed_lost
AMER,1932,R031,2023-09-06,485077.56,USD,36,Core Platform,Inbound,closed_won
APAC,928,R171,2023-09-20,671307.42,AUD,36,Enterprise Suite,Partner Referral,closed_won
EMEA,1892,R137,2023-09-09,47348.69,EUR,12,Core Platform,Outbound,closed_won
EMEA,1893,R085,2023-10-22,93618.42,EUR,24,Core Platform,Partner Referral,closed_lost
APAC,929,R168,2023-10-03,376838.02,AUD,24,Enterprise Suite,Inbound,closed_lost
EMEA,1894,R100,2023-09-30,169201.87,USD,12,Analytics Add-on,Partner Referral,closed_won
EMEA,1895,R087,2023-08-18,130464.19,EUR,12,Enterprise Suite,Partner Referral,closed_won
EMEA,1896,R146,2023-08-07,289783.32,EUR,24,Core Platform,Inbound,closed_won
APAC,930,R187,2023-08-17,87622.89,AUD,12,Analytics Add-on,Partner Referral,closed_won
APAC,931,R199,2023-08-11,23210.38,USD,24,Enterprise Suite,Outbound,closed_won
AMER,1933,R054,2023-08-11,157520.94,USD,24,Core Platform,Inbound,closed_won
APAC,932,R172,2023-08-11,228389.35,USD,36,Core Platform,Outbound,closed_won
EMEA,1897,R083,2023-08-09,89625.35,GBP,24,Enterprise Suite,Outbound,closed_won
APAC,933,R173,2023-10-26,34423141.18,JPY,36,Core Platform,Inbound,closed_won
AMER,1934,R046,2023-09-01,157913.49,USD,12,Analytics Add-on,Inbound,closed_lost
AMER,1935,R014,2023-09-14,408792.7,CAD,24,Core Platform,Outbound,closed_won
EMEA,1898,R114,2023-10-18,24662.93,GBP,12,Enterprise Suite,Partner Referral,closed_won
EMEA,1899,R154,2023-09-28,89895.89,GBP,24,Core Platform,Inbound,closed_won
EMEA,1900,R103,2023-09-03,256643.23,GBP,24,Enterprise Suite,Partner Referral,prospecting
EMEA,1901,R123,2023-08-25,365981.74,EUR,24,Enterprise Suite,Outbound,closed_won
APAC,934,R162,2023-08-23,43271819.13,JPY,24,Enterprise Suite,Inbound,closed_won
AMER,1936,R021,2023-09-19,207695.43,USD,36,Analytics Add-on,Outbound,closed_won
AMER,1937,R079,2023-10-06,355172.14,USD,36,Enterprise Suite,Outbound,closed_lost
AMER,1938,R054,2023-08-04,49723.51,USD,36,Analytics Add-on,Outbound,closed_won
EMEA,1902,R131,2023-09-16,40808.89,EUR,12,Core Platform,Partner Referral,closed_won
AMER,1939,R018,2023-08-05,587633.91,USD,36,Enterprise Suite,Partner Referral,closed_lost
AMER,1940,R028,2023-10-22,195916.93,USD,24,Enterprise Suite,Partner Referral,closed_won
APAC,935,R180,2023-09-29,297514.83,AUD,24,Enterprise Suite,Partner Referral,closed_won
AMER,1941,R076,2023-08-06,298745.93,CAD,36,Core Platform,Partner Referral,prospecting
AMER,1942,R014,2023-09-04,11002.28,USD,12,Analytics Add-on,Partner Referral,prospecting
APAC,936,R192,2023-08-07,382001.07,AUD,24,Analytics Add-on,Partner Referral,closed_won
AMER,1943,R044,2023-08-31,102817.22,CAD,24,Analytics Add-on,Partner Referral,prospecting
EMEA,1903,R146,2023-08-31,93147.42,EUR,12,Core Platform,Inbound,closed_won
AMER,1944,R007,2023-08-16,46237.76,USD,12,Enterprise Suite,Partner Referral,closed_won
AMER,1945,R072,2023-08-14,125030.96,USD,24,Core Platform,Partner Referral,closed_won
EMEA,1904,R151,2023-08-18,114171.99,EUR,12,Enterprise Suite,Partner Referral,closed_won
EMEA,1905,R089,2023-09-15,535256.02,EUR,36,Enterprise Suite,Partner Referral,closed_won
AMER,1946,R005,2023-08-04,557511.38,USD,36,Analytics Add-on,Partner Referral,closed_won
AMER,1947,R010,2023-08-08,99695.33,CAD,24,Core Platform,Partner Referral,closed_won
EMEA,1906,R134,2023-10-30,87690.21,GBP,12,Enterprise Suite,Inbound,closed_won
APAC,937,R181,2023-09-28,179167.55,USD,24,Enterprise Suite,Partner Referral,closed_won
EMEA,1907,R142,2023-09-26,138839.97,GBP,12,Core Platform,Outbound,closed_won
APAC,938,R161,2023-08-17,344604.51,AUD,24,Analytics Add-on,Partner Referral,prospecting
EMEA,1908,R153,2023-08-08,83332.18,GBP,12,Enterprise Suite,Partner Referral,closed_lost
APAC,939,R191,2023-09-11,143886.31,USD,24,Analytics Add-on,Inbound,closed_won
EMEA,1909,R106,2023-09-01,115903.96,USD,36,Enterprise Suite,Partner Referral,prospecting
AMER,1948,R004,2023-10-23,95930.24,USD,36,Enterprise Suite,Inbound,closed_won
APAC,940,R181,2023-09-07,88361.03,AUD,12,Core Platform,Partner Referral,closed_won
EMEA,1910,R098,2023-10-18,198191.52,EUR,36,Analytics Add-on,Inbound,closed_won
EMEA,1911,R101,2023-08-03,504744.41,EUR,36,Analytics Add-on,Partner Referral,closed_won
AMER,1949,R063,2023-10-11,11318.68,USD,12,Analytics Add-on,Outbound,closed_won
APAC,941,R171,2023-10-01,24297930.12,JPY,36,Enterprise Suite,Outbound,closed_won
AMER,1950,R016,2023-09-02,289462.64,USD,24,Core Platform,Inbound,closed_won
EMEA,1912,R140,2023-09-30,118247.82,USD,12,Enterprise Suite,Inbound,closed_won
AMER,1951,R023,2023-09-09,48300.58,USD,36,Core Platform,Partner Referral,closed_won
EMEA,1913,R088,2023-09-26,52892.81,GBP,12,Core Platform,Partner Referral,prospecting
EMEA,1914,R114,2023-09-06,159513.31,EUR,12,Analytics Add-on,Inbound,closed_won
AMER,1952,R019,2023-10-03,370157.88,USD,24,Analytics Add-on,Inbound,closed_won
EMEA,1915,R140,2023-08-05,179517.62,EUR,12,Analytics Add-on,Inbound,prospecting
AMER,1953,R060,2023-08-11,359538.72,USD,36,Enterprise Suite,Partner Referral,closed_won
APAC,942,R170,2023-08-02,62154.55,AUD,12,Core Platform,Inbound,closed_won
APAC,943,R180,2023-10-19,39937319.55,JPY,36,Enterprise Suite,Partner Referral,closed_won
AMER,1954,R077,2023-08-14,36965.35,CAD,12,Core Platform,Partner Referral,closed_lost
AMER,1955,R080,2023-08-06,331176.51,USD,36,Analytics Add-on,Inbound,closed_won
APAC,944,R163,2023-10-23,11656109.21,JPY,12,Analytics Add-on,Inbound,closed_won
APAC,945,R167,2023-09-12,3454365.81,JPY,12,Analytics Add-on,Partner Referral,closed_won
APAC,946,R196,2023-09-09,44362314.68,JPY,24,Enterprise Suite,Partner Referral,closed_won
EMEA,1916,R089,2023-08-25,172332.94,EUR,12,Enterprise Suite,Inbound,closed_lost
AMER,1956,R017,2023-08-12,45792.34,CAD,12,Analytics Add-on,Inbound,closed_won
AMER,1957,R069,2023-10-11,122319.6,USD,12,Core Platform,Outbound,prospecting
APAC,947,R197,2023-08-22,3649434.69,JPY,24,Core Platform,Partner Referral,closed_won
AMER,1958,R065,2023-10-12,253975.37,USD,36,Core Platform,Outbound,closed_won
EMEA,1917,R139,2023-09-27,392136.79,EUR,36,Analytics Add-on,Partner Referral,closed_won
EMEA,1918,R105,2023-10-23,81028.17,GBP,12,Enterprise Suite,Inbound,closed_lost
EMEA,1919,R093,2023-09-25,109149.06,USD,12,Enterprise Suite,Partner Referral,closed_won
AMER,1959,R027,2023-10-19,192966.7,USD,12,Enterprise Suite,Partner Referral,prospecting
EMEA,1920,R118,2023-10-20,190699.37,GBP,24,Analytics Add-on,Inbound,closed_won
APAC,948,R171,2023-10-04,356859.84,AUD,36,Analytics Add-on,Inbound,closed_won
AMER,1960,R052,2023-09-14,21577.98,USD,24,Core Platform,Outbound,closed_won
EMEA,1921,R097,2023-10-15,510388.65,EUR,36,Enterprise Suite,Inbound,closed_won
EMEA,1922,R085,2023-10-22,101587.18,GBP,12,Analytics Add-on,Partner Referral,prospecting
EMEA,1923,R137,2023-09-26,226414.85,GBP,36,Enterprise Suite,Inbound,closed_won
AMER,1961,R034,2023-08-19,249291.05,USD,24,Core Platform,Outbound,prospecting
EMEA,1924,R146,2023-10-17,83207.28,USD,12,Core Platform,Outbound,closed_won
EMEA,1925,R145,2023-09-05,11924.65,EUR,12,Analytics Add-on,Inbound,closed_won
AMER,1962,R075,2023-09-30,184975.65,USD,12,Core Platform,Partner Referral,prospecting
EMEA,1926,R092,2023-09-19,174485.53,EUR,12,Core Platform,Inbound,closed_won
AMER,1963,R005,2023-09-21,264460.5,USD,24,Analytics Add-on,Outbound,closed_won
APAC,949,R173,2023-09-06,94626.87,AUD,12,Analytics Add-on,Inbound,prospecting
APAC,950,R187,2023-08-18,745211.54,AUD,36,Enterprise Suite,Inbound,closed_lost
AMER,1964,R060,2023-09-01,76916.16,USD,12,Core Platform,Outbound,closed_lost
EMEA,1927,R103,2023-10-16,156534.91,EUR,12,Analytics Add-on,Partner Referral,closed_won
AMER,1965,R047,2023-09-24,40312.98,USD,12,Enterprise Suite,Outbound,closed_won
APAC,951,R188,2023-09-22,914844.38,AUD,36,Analytics Add-on,Inbound,closed_won
EMEA,1928,R132,2023-09-29,138515.1,GBP,24,Analytics Add-on,Partner Referral,closed_won
EMEA,1929,R136,2023-08-27,356941.55,GBP,36,Core Platform,Outbound,closed_won
APAC,952,R172,2023-09-01,19350703.98,JPY,12,Core Platform,Outbound,closed_won
AMER,1966,R034,2023-09-19,14613.86,CAD,12,Core Platform,Partner Referral,closed_lost
AMER,1967,R059,2023-09-05,299654.71,USD,24,Core Platform,Outbound,closed_won
EMEA,1930,R105,2023-10-05,87668.21,EUR,24,Analytics Add-on,Inbound,prospecting
AMER,1968,R054,2023-08-11,89336.02,USD,12,Core Platform,Outbound,closed_won
AMER,1969,R068,2023-08-08,497105.1,USD,36,Analytics Add-on,Partner Referral,prospecting
EMEA,1931,R105,2023-10-24,450072.33,USD,36,Analytics Add-on,Outbound,closed_won
APAC,953,R173,2023-10-31,10364073.85,JPY,24,Core Platform,Outbound,closed_won
EMEA,1932,R134,2023-10-05,234475.88,EUR,24,Analytics Add-on,Outbound,closed_won
AMER,1970,R020,2023-10-16,286286.7,USD,36,Enterprise Suite,Partner Referral,closed_won
APAC,954,R177,2023-08-14,491476.64,USD,36,Core Platform,Outbound,closed_won
AMER,1971,R051,2023-09-17,372667.7,USD,24,Enterprise Suite,Inbound,closed_won
APAC,955,R172,2023-10-12,96081.53,AUD,12,Core Platform,Partner Referral,closed_won
EMEA,1933,R088,2023-10-26,20036.32,GBP,12,Analytics Add-on,Inbound,prospecting
APAC,956,R191,2023-08-14,50440035.73,JPY,36,Enterprise Suite,Inbound,closed_lost
AMER,1972,R044,2023-09-19,26442.45,USD,24,Core Platform,Outbound,closed_won
EMEA,1934,R131,2023-10-28,37540.14,GBP,36,Enterprise Suite,Partner Referral,closed_won
AMER,1973,R021,2023-08-06,483311.5,USD,36,Enterprise Suite,Partner Referral,closed_won
APAC,957,R167,2023-10-18,25918140.59,JPY,36,Analytics Add-on,Inbound,closed_won
APAC,958,R168,2023-08-18,82805.55,AUD,12,Core Platform,Outbound,closed_won
APAC,959,R167,2023-08-07,254228.85,AUD,12,Core Platform,Inbound,closed_won
AMER,1974,R054,2023-08-19,150513.95,USD,12,Analytics Add-on,Inbound,closed_won
APAC,960,R182,2023-10-11,39553.96,AUD,12,Analytics Add-on,Partner Referral,closed_won
AMER,1975,R053,2023-10-14,203729.95,CAD,12,Enterprise Suite,Partner Referral,closed_won
EMEA,1935,R152,2023-09-04,49288.57,GBP,12,Core Platform,Partner Referral,closed_won
AMER,1976,R002,2023-08-02,83079.45,USD,12,Analytics Add-on,Inbound,closed_lost
AMER,1977,R013,2023-09-29,499100.17,CAD,24,Enterprise Suite,Partner Referral,closed_won
APAC,961,R190,2023-10-01,228397.2,USD,24,Enterprise Suite,Inbound,closed_lost
APAC,962,R180,2023-08-17,743233.86,AUD,36,Enterprise Suite,Inbound,closed_won
AMER,1978,R048,2023-09-20,399647.81,USD,24,Analytics Add-on,Inbound,closed_won
AMER,1979,R034,2023-09-17,212037.57,USD,36,Core Platform,Inbound,closed_won
APAC,963,R174,2023-10-23,22259.57,AUD,12,Analytics Add-on,Inbound,closed_lost
EMEA,1936,R157,2023-10-26,177842.07,EUR,36,Enterprise Suite,Partner Referral,closed_won
EMEA,1937,R086,2023-08-13,178502.94,EUR,12,Enterprise Suite,Inbound,closed_won
AMER,1980,R030,2023-09-06,193410.13,USD,12,Analytics Add-on,Outbound,closed_won
AMER,1981,R005,2023-08-22,237547.03,CAD,12,Analytics Add-on,Outbound,closed_won
APAC,964,R199,2023-10-24,87421.22,USD,12,Analytics Add-on,Outbound,closed_won
AMER,1982,R026,2023-09-04,189904.68,CAD,12,Core Platform,Outbound,closed_won
EMEA,1938,R160,2023-09-16,125968.93,USD,24,Analytics Add-on,Partner Referral,closed_won
APAC,965,R161,2023-08-27,376726.75,USD,24,Core Platform,Outbound,closed_won
EMEA,1939,R154,2023-08-04,35968.25,USD,36,Core Platform,Outbound,closed_won
EMEA,1940,R160,2023-09-30,50990.5,GBP,12,Enterprise Suite,Partner Referral,closed_won
APAC,966,R164,2023-08-24,51359462.35,JPY,36,Core Platform,Partner Referral,closed_lost
AMER,1983,R079,2023-08-04,139278.98,USD,24,Core Platform,Outbound,closed_won
EMEA,1941,R124,2023-10-24,148405.4,EUR,12,Core Platform,Outbound,closed_won
AMER,1984,R076,2023-09-27,365579.83,USD,24,Enterprise Suite,Partner Referral,closed_won
