rep_id,period_start,period_end,quota_usd
R152,2024-05-01,2024-07-31,1659867.15
R153,2023-08-01,2023-10-31,2679555.75
R153,2023-11-01,2024-01-31,1840101.01
R153,2024-02-01,2024-04-30,2135982.98
R153,2024-05-01,2024-07-31,2744734.74
R154,2023-08-01,2023-10-31,1929378.01
R154,2023-11-01,2024-01-31,2475317.25
R154,2024-02-01,2024-04-30,2370579.76
R154,2024-05-01,2024-07-31,2181424.7
R155,2023-08-01,2023-10-31,2053364.1
R155,2023-11-01,2024-01-31,1125381.68
R155,2024-02-01,2024-04-30,2515865.82
R155,2024-05-01,2024-07-31,2450600.35
R156,2023-08-01,2023-10-31,2821601.92
R156,2023-11-01,2024-01-31,1269581.89
R156,2024-02-01,2024-04-30,2777698.13
R156,2024-05-01,2024-07-31,1688848.47
R157,2023-08-01,2023-10-31,1718334.53
R157,2023-11-01,2024-01-31,2872854.96
R157,2024-02-01,2024-04-30,1571748.64
R157,2024-05-01,2024-07-31,1216524.03
R158,2023-08-01,2023-10-31,1915234.27
R158,2023-11-01,2024-01-31,2419932.26
R158,2024-02-01,2024-04-30,1458763.52
R158,2024-05-01,2024-07-31,2397476.69
R159,2023-08-01,2023-10-31,1830774.24
R159,2023-11-01,2024-01-31,1759247.74
R159,2024-02-01,2024-04-30,1274626.52
R159,2024-05-01,2024-07-31,2716578.56
R160,2023-08-01,2023-10-31,2635128.64
R160,2023-11-01,2024-01-31,1594440.86
R160,2024-02-01,2024-04-30,1545072.11
R160,2024-05-01,2024-07-31,1023757.09
R161,2023-08-01,2023-10-31,2398609.57
R161,2023-11-01,2024-01-31,1092643.01
R161,2024-02-01,2024-04-30,1829087.38
R161,2024-05-01,2024-07-31,1345379.77
R162,2023-08-01,2023-10-31,2696268.41
R162,2023-11-01,2024-01-31,1726690.13
R162,2024-02-01,2024-04-30,1861764.62
R162,2024-05-01,2024-07-31,1805948.38
R163,2023-08-01,2023-10-31,1737963.61
R163,2023-11-01,2024-01-31,2500823.91
R163,2024-02-01,2024-04-30,2680938.38
R163,2024-05-01,2024-07-31,2928598.91
R164,2023-08-01,2023-10-31,1020599.83
R164,2023-11-01,2024-01-31,2299848.29
R164,2024-02-01,2024-04-30,1808468.43
R164,2024-05-01,2024-07-31,1893215.12
R165,2023-08-01,2023-10-31,2660781.36
R165,2023-11-01,2024-01-31,2943886.88
R165,2024-02-01,2024-04-30,1467801.79
R165,2024-05-01,2024-07-31,2872894.7
R166,2023-08-01,2023-10-31,2437561.08
R166,2023-11-01,2024-01-31,2783205.02
R166,2024-02-01,2024-04-30,2156851.12
R166,2024-05-01,2024-07-31,2636338.88
R167,2023-08-01,2023-10-31,1323472.03
R167,2023-11-01,2024-01-31,1071147.42
R167,2024-02-01,2024-04-30,2454383.02
R167,2024-05-01,2024-07-31,1295051.39
R168,2023-08-01,2023-10-31,1439282.99
R168,2023-11-01,2024-01-31,1225824.84
R168,2024-02-01,2024-04-30,2960909.53
R168,2024-05-01,2024-07-31,2481846.07
R169,2023-08-01,2023-10-31,1445655.41
R169,2023-11-01,2024-01-31,1820594.76
R169,2024-02-01,2024-04-30,2485546.42
R169,2024-05-01,2024-07-31,2924346.82
R170,2023-08-01,2023-10-31,2083720.65
R170,2023-11-01,2024-01-31,1852452.55
R170,2024-02-01,2024-04-30,1580086.95
R170,2024-05-01,2024-07-31,1257558.69
R171,2023-08-01,2023-10-31,1898642.16
R171,2023-11-01,2024-01-31,2228482.18
R171,2024-02-01,2024-04-30,2027156.42
R171,2024-05-01,2024-07-31,1112153.63
R172,2023-08-01,2023-10-31,1118831.64
R172,2023-11-01,2024-01-31,1593145.83
R172,2024-02-01,2024-04-30,2481744.94
R172,2024-05-01,2024-07-31,2944566.91
R173,2023-08-01,2023-10-31,1688990.57
R173,2023-11-01,2024-01-31,2017563.89
R173,2024-02-01,2024-04-30,2668550.08
R173,2024-05-01,2024-07-31,1540926.3
R174,2023-08-01,2023-10-31,2673706.61
R174,2023-11-01,2024-01-31,2679375.01
R174,2024-02-01,2024-04-30,1245488.03
R174,2024-05-01,2024-07-31,2178270.41
R175,2023-08-01,2023-10-31,1769118.0
R175,2023-11-01,2024-01-31,1042515.12
R175,2024-02-01,2024-04-30,1500912.22
R175,2024-05-01,2024-07-31,2493362.36
R176,2023-08-01,2023-10-31,2062723.75
R176,2023-11-01,2024-01-31,2696783.92
R176,2024-02-01,2024-04-30,1420841.56
R176,2024-05-01,2024-07-31,2903646.06
R177,2023-08-01,2023-10-31,2396852.82
R177,2023-11-01,2024-01-31,2608610.78
R177,2024-02-01,2024-04-30,1127557.38
R177,2024-05-01,2024-07-31,2637811.68
R178,2023-08-01,2023-10-31,1303531.0
R178,2023-11-01,2024-01-31,2137212.19
R178,2024-02-01,2024-04-30,2278015.17
R178,2024-05-01,2024-07-31,1435950.58
R179,2023-08-01,2023-10-31,1292535.09
R179,2023-11-01,2024-01-31,1672851.37
R179,2024-02-01,2024-04-30,1922426.58
R179,2024-05-01,2024-07-31,1684074.12
R180,2023-08-01,2023-10-31,2376990.06
R180,2023-11-01,2024-01-31,1039003.53
R180,2024-02-01,2024-04-30,1577577.98
R180,2024-05-01,2024-07-31,1344401.6
R181,2023-08-01,2023-10-31,2785873.55
R181,2023-11-01,2024-01-31,1809333.85
R181,2024-02-01,2024-04-30,1851405.29
R181,2024-05-01,2024-07-31,2372141.39
R182,2023-08-01,2023-10-31,1399026.6
R182,2023-11-01,2024-01-31,1400173.15
R182,2024-02-01,2024-04-30,1599609.33
R182,2024-05-01,2024-07-31,1240657.8
R183,2023-08-01,2023-10-31,2091055.14
R183,2023-11-01,2024-01-31,2437838.23
R183,2024-02-01,2024-04-30,2947275.86
R183,2024-05-01,2024-07-31,1669718.7
R184,2023-08-01,2023-10-31,2518801.12
R184,2023-11-01,2024-01-31,1174825.96
R184,2024-02-01,2024-04-30,2201002.01
R184,2024-05-01,2024-07-31,1289903.32
R185,2023-08-01,2023-10-31,2531037.9
R185,2023-11-01,2024-01-31,1427438.23
R185,2024-02-01,2024-04-30,1962600.37
R185,2024-05-01,2024-07-31,1790499.54
R186,2023-08-01,2023-10-31,1811415.4
R186,2023-11-01,2024-01-31,1815077.0
R186,2024-02-01,2024-04-30,1505041.38
R186,2024-05-01,2024-07-31,1852068.69
R187,2023-08-01,2023-10-31,1920455.03
R187,2023-11-01,2024-01-31,2092162.29
R187,2024-02-01,2024-04-30,2483741.11
R187,2024-05-01,2024-07-31,2020961.87
R188,2023-08-01,2023-10-31,1599110.02
R188,2023-11-01,2024-01-31,2034611.92
R188,2024-02-01,2024-04-30,2824707.16
R188,2024-05-01,2024-07-31,2575965.33
R189,2023-08-01,2023-10-31,2578912.24
R189,2023-11-01,2024-01-31,2466378.65
R189,2024-02-01,2024-04-30,1716739.75
R189,2024-05-01,2024-07-31,1919528.0
R190,2023-08-01,2023-10-31,1123455.88
R190,2023-11-01,2024-01-31,2319145.43
R190,2024-02-01,2024-04-30,1341296.94
R190,2024-05-01,2024-07-31,1224603.12
R191,2023-08-01,2023-10-31,1483681.3
R191,2023-11-01,2024-01-31,2390168.14
R191,2024-02-01,2024-04-30,2978001.63
R191,2024-05-01,2024-07-31,2843156.86
R192,2023-08-01,2023-10-31,1764004.78
R192,2023-11-01,2024-01-31,1744196.52
R192,2024-02-01,2024-04-30,2344241.71
R192,2024-05-01,2024-07-31,1388744.67
R193,2023-08-01,2023-10-31,2905600.91
R193,2023-11-01,2024-01-31,1797253.81
R193,2024-02-01,2024-04-30,2836923.76
R193,2024-05-01,2024-07-31,2147958.11
R194,2023-08-01,2023-10-31,2676445.9
R194,2023-11-01,2024-01-31,1882559.69
R194,2024-02-01,2024-04-30,1140119.86
R194,2024-05-01,2024-07-31,2915990.53
R195,2023-08-01,2023-10-31,1719759.13
R195,2023-11-01,2024-01-31,2518350.98
R195,2024-02-01,2024-04-30,2091230.76
R195,2024-05-01,2024-07-31,2627484.46
R196,2023-08-01,2023-10-31,1209613.76
R196,2023-11-01,2024-01-31,2309760.62
R196,2024-02-01,2024-04-30,2236164.53
R196,2024-05-01,2024-07-31,2794586.66
R197,2023-08-01,2023-10-31,1218590.91
R197,2023-11-01,2024-01-31,1482121.8
R197,2024-02-01,2024-04-30,2846436.66
R197,2024-05-01,2024-07-31,2468819.04
R198,2023-08-01,2023-10-31,2528061.49
R198,2023-11-01,2024-01-31,2627065.06
R198,2024-02-01,2024-04-30,2441642.53
R198,2024-05-01,2024-07-31,2211175.51
R199,2023-08-01,2023-10-31,2405141.53
R199,2023-11-01,2024-01-31,1380174.69
R199,2024-02-01,2024-04-30,2697092.67
R199,2024-05-01,2024-07-31,1922968.97
R200,2023-08-01,2023-10-31,1545405.29
R200,2023-11-01,2024-01-31,1089534.58
R200,2024-02-01,2024-04-30,2592284.69
R200,2024-05-01,2024-07-31,1851692.0
