entry_id,project_id,work_package_id,control_account_id,reporting_period,percent_complete,report_type,completion_status,physical_progress_description,submitted_by,submitted_date,approved_by,approved_date,forecast_completion_date,schedule_risk,cost_risk,notes
PE-000142,P002,WP-007,CA-P002-02,2024-01,7.8,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0047,2024-01-28,CAM-P002-01,2024-01-30,2024-01-26,None,Low,
PE-000143,P002,WP-007,CA-P002-02,2024-02,29.6,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0047,2024-02-28,CAM-P002-01,2024-03-01,2024-01-26,Low,Low,
PE-000144,P002,WP-007,CA-P002-02,2024-03,49.4,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0047,2024-03-28,CAM-P002-01,2024-03-30,2024-01-26,Low,None,
PE-000145,P002,WP-008,CA-P002-02,2024-01,18.0,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0048,2024-01-28,CAM-P002-01,2024-01-30,2024-06-30,None,None,
PE-000146,P002,WP-008,CA-P002-02,2024-02,33.1,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0048,2024-02-28,CAM-P002-01,2024-03-01,2024-06-30,High,None,
PE-000147,P002,WP-008,CA-P002-02,2024-03,46.0,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0048,2024-03-28,CAM-P002-01,2024-03-30,2024-06-30,None,None,
PE-000148,P002,WP-009,CA-P002-02,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P002-0049,2024-01-28,CAM-P002-01,2024-01-30,2024-06-23,None,Low,
PE-000149,P002,WP-009,CA-P002-02,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P002-0049,2024-02-28,CAM-P002-01,2024-03-01,2024-06-23,Medium,None,
PE-000150,P002,WP-009,CA-P002-02,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P002-0049,2024-03-28,CAM-P002-01,2024-03-30,2024-06-23,None,None,
PE-000151,P002,WP-010,CA-P002-02,2024-01,5.4,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0050,2024-01-28,CAM-P002-01,2024-01-30,2024-07-04,Low,Low,
PE-000152,P002,WP-010,CA-P002-02,2024-02,22.5,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0050,2024-02-28,CAM-P002-01,2024-03-01,2024-07-04,None,Low,
PE-000153,P002,WP-010,CA-P002-02,2024-03,29.8,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0050,2024-03-28,CAM-P002-01,2024-03-30,2024-07-04,None,High,
PE-000154,P002,WP-011,CA-P002-03,2024-01,16.4,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0051,2024-01-28,CAM-P002-01,2024-01-30,2024-04-18,Medium,Medium,
PE-000155,P002,WP-011,CA-P002-03,2024-02,33.5,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0051,2024-02-28,CAM-P002-01,2024-03-01,2024-04-18,Medium,None,
PE-000156,P002,WP-011,CA-P002-03,2024-03,39.6,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0051,2024-03-28,CAM-P002-01,2024-03-30,2024-04-18,None,None,
PE-000157,P002,WP-012,CA-P002-03,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P002-0052,2024-01-28,CAM-P002-01,2024-01-30,2024-07-03,None,None,
PE-000158,P002,WP-012,CA-P002-03,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P002-0052,2024-02-28,CAM-P002-01,2024-03-01,2024-07-03,Low,Medium,
PE-000159,P002,WP-012,CA-P002-03,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P002-0052,2024-03-28,CAM-P002-01,2024-03-30,2024-07-03,Low,None,
PE-000160,P002,WP-013,CA-P002-03,2024-01,16.2,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0053,2024-01-28,CAM-P002-01,2024-01-30,2024-02-23,None,None,
PE-000161,P002,WP-013,CA-P002-03,2024-02,28.1,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0053,2024-02-28,CAM-P002-01,2024-03-01,2024-02-23,None,None,
PE-000162,P002,WP-013,CA-P002-03,2024-03,45.5,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0053,2024-03-28,CAM-P002-01,2024-03-30,2024-02-23,Medium,Low,
PE-000163,P002,WP-014,CA-P002-03,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P002-0054,2024-01-28,CAM-P002-01,2024-01-30,2024-01-30,None,Medium,
PE-000164,P002,WP-014,CA-P002-03,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P002-0054,2024-02-28,CAM-P002-01,2024-03-01,2024-01-30,Low,None,
PE-000165,P002,WP-014,CA-P002-03,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P002-0054,2024-03-28,CAM-P002-01,2024-03-30,2024-01-30,Low,None,
PE-000166,P002,WP-015,CA-P002-03,2024-01,11.6,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0055,2024-01-28,CAM-P002-01,2024-01-30,2024-06-04,None,Low,
PE-000167,P002,WP-015,CA-P002-03,2024-02,21.0,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0055,2024-02-28,CAM-P002-01,2024-03-01,2024-06-04,None,None,
PE-000168,P002,WP-015,CA-P002-03,2024-03,40.3,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0055,2024-03-28,CAM-P002-01,2024-03-30,2024-06-04,None,None,
PE-000169,P002,WP-016,CA-P002-04,2024-01,0.0,confirmed,not_started,Progress update for 2024-01,ENG-P002-0056,2024-01-28,CAM-P002-01,2024-01-30,2024-06-30,None,Medium,
PE-000170,P002,WP-016,CA-P002-04,2024-02,0.0,confirmed,not_started,Progress update for 2024-02,ENG-P002-0056,2024-02-28,CAM-P002-01,2024-03-01,2024-06-30,Low,Medium,
PE-000171,P002,WP-016,CA-P002-04,2024-03,0.0,confirmed,not_started,Progress update for 2024-03,ENG-P002-0056,2024-03-28,CAM-P002-01,2024-03-30,2024-06-30,None,None,
PE-000172,P002,WP-017,CA-P002-04,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P002-0057,2024-01-28,CAM-P002-01,2024-01-30,2024-09-17,Low,None,
PE-000173,P002,WP-017,CA-P002-04,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P002-0057,2024-02-28,CAM-P002-01,2024-03-01,2024-09-17,Medium,Medium,
PE-000174,P002,WP-017,CA-P002-04,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P002-0057,2024-03-28,CAM-P002-01,2024-03-30,2024-09-17,None,High,
PE-000175,P002,WP-018,CA-P002-04,2024-01,0.0,confirmed,not_started,Progress update for 2024-01,ENG-P002-0058,2024-01-28,CAM-P002-01,2024-01-30,2024-07-10,Low,None,
PE-000176,P002,WP-018,CA-P002-04,2024-02,0.0,confirmed,not_started,Progress update for 2024-02,ENG-P002-0058,2024-02-28,CAM-P002-01,2024-03-01,2024-07-10,None,None,
PE-000177,P002,WP-018,CA-P002-04,2024-03,0.0,confirmed,not_started,Progress update for 2024-03,ENG-P002-0058,2024-03-28,CAM-P002-01,2024-03-30,2024-07-10,Medium,None,
PE-000178,P002,WP-019,CA-P002-04,2024-01,9.6,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0059,2024-01-28,CAM-P002-01,2024-01-30,2024-03-22,Low,None,
PE-000179,P002,WP-019,CA-P002-04,2024-02,18.7,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0059,2024-02-28,CAM-P002-01,2024-03-01,2024-03-22,Low,None,
PE-000180,P002,WP-019,CA-P002-04,2024-03,31.4,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0059,2024-03-28,CAM-P002-01,2024-03-30,2024-03-22,None,None,
PE-000181,P002,WP-020,CA-P002-04,2024-01,7.8,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0060,2024-01-28,CAM-P002-01,2024-01-30,2024-02-04,Medium,High,
PE-000182,P002,WP-020,CA-P002-04,2024-02,17.8,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0060,2024-02-28,CAM-P002-01,2024-03-01,2024-02-04,High,Low,
PE-000183,P002,WP-020,CA-P002-04,2024-03,32.8,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0060,2024-03-28,CAM-P002-01,2024-03-30,2024-02-04,Low,Low,
PE-000184,P002,WP-021,CA-P002-05,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P002-0061,2024-01-28,CAM-P002-01,2024-01-30,2024-01-29,Medium,None,
PE-000185,P002,WP-021,CA-P002-05,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P002-0061,2024-02-28,CAM-P002-01,2024-03-01,2024-01-29,Low,None,
PE-000186,P002,WP-021,CA-P002-05,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P002-0061,2024-03-28,CAM-P002-01,2024-03-30,2024-01-29,None,Low,
PE-000187,P002,WP-022,CA-P002-05,2024-01,5.5,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0062,2024-01-28,CAM-P002-01,2024-01-30,2024-03-11,None,None,
PE-000188,P002,WP-022,CA-P002-05,2024-02,16.2,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0062,2024-02-28,CAM-P002-01,2024-03-01,2024-03-11,Low,Low,
PE-000189,P002,WP-022,CA-P002-05,2024-03,28.1,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0062,2024-03-28,CAM-P002-01,2024-03-30,2024-03-11,None,None,
PE-000190,P002,WP-023,CA-P002-05,2024-01,0.0,confirmed,not_started,Progress update for 2024-01,ENG-P002-0063,2024-01-28,CAM-P002-01,2024-01-30,2024-01-16,None,Low,
PE-000191,P002,WP-023,CA-P002-05,2024-02,0.0,confirmed,not_started,Progress update for 2024-02,ENG-P002-0063,2024-02-28,CAM-P002-01,2024-03-01,2024-01-16,Low,None,
PE-000192,P002,WP-023,CA-P002-05,2024-03,0.0,confirmed,not_started,Progress update for 2024-03,ENG-P002-0063,2024-03-28,CAM-P002-01,2024-03-30,2024-01-16,None,High,
PE-000193,P002,WP-024,CA-P002-05,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P002-0064,2024-01-28,CAM-P002-01,2024-01-30,2024-05-04,Medium,None,
PE-000194,P002,WP-024,CA-P002-05,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P002-0064,2024-02-28,CAM-P002-01,2024-03-01,2024-05-04,None,None,
PE-000195,P002,WP-024,CA-P002-05,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P002-0064,2024-03-28,CAM-P002-01,2024-03-30,2024-05-04,High,None,
PE-000196,P002,WP-025,CA-P002-05,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P002-0065,2024-01-28,CAM-P002-01,2024-01-30,2024-08-31,None,High,
PE-000197,P002,WP-025,CA-P002-05,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P002-0065,2024-02-28,CAM-P002-01,2024-03-01,2024-08-31,Low,None,
PE-000198,P002,WP-025,CA-P002-05,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P002-0065,2024-03-28,CAM-P002-01,2024-03-30,2024-08-31,None,None,
PE-000199,P002,WP-026,CA-P002-06,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P002-0066,2024-01-28,CAM-P002-01,2024-01-30,2024-03-02,Low,None,
PE-000200,P002,WP-026,CA-P002-06,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P002-0066,2024-02-28,CAM-P002-01,2024-03-01,2024-03-02,High,High,
PE-000201,P002,WP-026,CA-P002-06,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P002-0066,2024-03-28,CAM-P002-01,2024-03-30,2024-03-02,Low,Low,
PE-000202,P002,WP-027,CA-P002-06,2024-01,9.4,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0067,2024-01-28,CAM-P002-01,2024-01-30,2024-01-13,None,Low,
PE-000203,P002,WP-027,CA-P002-06,2024-02,18.8,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0067,2024-02-28,CAM-P002-01,2024-03-01,2024-01-13,None,None,
PE-000204,P002,WP-027,CA-P002-06,2024-03,25.0,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0067,2024-03-28,CAM-P002-01,2024-03-30,2024-01-13,None,Low,
PE-000205,P002,WP-028,CA-P002-06,2024-01,17.0,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0068,2024-01-28,CAM-P002-01,2024-01-30,2024-03-02,Low,Medium,
PE-000206,P002,WP-028,CA-P002-06,2024-02,30.7,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0068,2024-02-28,CAM-P002-01,2024-03-01,2024-03-02,Medium,Low,
PE-000207,P002,WP-028,CA-P002-06,2024-03,39.8,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0068,2024-03-28,CAM-P002-01,2024-03-30,2024-03-02,High,None,
PE-000208,P002,WP-029,CA-P002-06,2024-01,5.4,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0069,2024-01-28,CAM-P002-01,2024-01-30,2024-08-17,None,None,
PE-000209,P002,WP-029,CA-P002-06,2024-02,18.3,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0069,2024-02-28,CAM-P002-01,2024-03-01,2024-08-17,Low,Medium,
PE-000210,P002,WP-029,CA-P002-06,2024-03,28.4,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0069,2024-03-28,CAM-P002-01,2024-03-30,2024-08-17,Low,None,
PE-000211,P002,WP-030,CA-P002-06,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P002-0070,2024-01-28,CAM-P002-01,2024-01-30,2024-08-24,Medium,None,
PE-000212,P002,WP-030,CA-P002-06,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P002-0070,2024-02-28,CAM-P002-01,2024-03-01,2024-08-24,None,Low,
PE-000213,P002,WP-030,CA-P002-06,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P002-0070,2024-03-28,CAM-P002-01,2024-03-30,2024-08-24,Low,Medium,
PE-000214,P002,WP-031,CA-P002-07,2024-01,0.0,confirmed,not_started,Progress update for 2024-01,ENG-P002-0071,2024-01-28,CAM-P002-01,2024-01-30,2024-07-09,Low,Medium,
PE-000215,P002,WP-031,CA-P002-07,2024-02,0.0,confirmed,not_started,Progress update for 2024-02,ENG-P002-0071,2024-02-28,CAM-P002-01,2024-03-01,2024-07-09,None,None,
PE-000216,P002,WP-031,CA-P002-07,2024-03,0.0,confirmed,not_started,Progress update for 2024-03,ENG-P002-0071,2024-03-28,CAM-P002-01,2024-03-30,2024-07-09,None,None,
PE-000217,P002,WP-032,CA-P002-07,2024-01,9.9,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0072,2024-01-28,CAM-P002-01,2024-01-30,2024-07-02,None,None,
PE-000218,P002,WP-032,CA-P002-07,2024-02,25.8,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0072,2024-02-28,CAM-P002-01,2024-03-01,2024-07-02,None,Low,
PE-000219,P002,WP-032,CA-P002-07,2024-03,41.1,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0072,2024-03-28,CAM-P002-01,2024-03-30,2024-07-02,None,None,
PE-000220,P002,WP-033,CA-P002-07,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P002-0073,2024-01-28,CAM-P002-01,2024-01-30,2024-01-31,Low,Low,
PE-000221,P002,WP-033,CA-P002-07,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P002-0073,2024-02-28,CAM-P002-01,2024-03-01,2024-01-31,None,None,
PE-000222,P002,WP-033,CA-P002-07,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P002-0073,2024-03-28,CAM-P002-01,2024-03-30,2024-01-31,Low,Low,
PE-000223,P002,WP-034,CA-P002-07,2024-01,7.0,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0074,2024-01-28,CAM-P002-01,2024-01-30,2024-04-23,None,Medium,
PE-000224,P002,WP-034,CA-P002-07,2024-02,15.5,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0074,2024-02-28,CAM-P002-01,2024-03-01,2024-04-23,Medium,None,
PE-000225,P002,WP-034,CA-P002-07,2024-03,28.6,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0074,2024-03-28,CAM-P002-01,2024-03-30,2024-04-23,None,None,
PE-000226,P002,WP-035,CA-P002-07,2024-01,18.7,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0075,2024-01-28,CAM-P002-01,2024-01-30,2024-01-04,None,High,
PE-000227,P002,WP-035,CA-P002-07,2024-02,30.7,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0075,2024-02-28,CAM-P002-01,2024-03-01,2024-01-04,Medium,Medium,
PE-000228,P002,WP-035,CA-P002-07,2024-03,44.5,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0075,2024-03-28,CAM-P002-01,2024-03-30,2024-01-04,None,Low,
PE-000229,P002,WP-036,CA-P002-08,2024-01,13.2,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0076,2024-01-28,CAM-P002-01,2024-01-30,2024-07-23,High,None,
PE-000230,P002,WP-036,CA-P002-08,2024-02,25.0,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0076,2024-02-28,CAM-P002-01,2024-03-01,2024-07-23,None,Low,
PE-000231,P002,WP-036,CA-P002-08,2024-03,39.3,preliminary,in_progress,Preliminary progress update for 2024-03,ENG-P002-0076,2024-03-23,,,2024-07-23,Low,Medium,Preliminary estimate pending field verification
PE-000232,P002,WP-036,CA-P002-08,2024-03,44.6,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0076,2024-03-28,CAM-P002-01,2024-03-30,2024-07-23,None,None,
PE-000233,P002,WP-037,CA-P002-08,2024-01,15.4,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0077,2024-01-28,CAM-P002-01,2024-01-30,2024-04-18,Low,None,
PE-000234,P002,WP-037,CA-P002-08,2024-02,35.1,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0077,2024-02-28,CAM-P002-01,2024-03-01,2024-04-18,Low,Medium,
PE-000235,P002,WP-037,CA-P002-08,2024-03,53.4,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0077,2024-03-28,CAM-P002-01,2024-03-30,2024-04-18,Medium,Low,
PE-000236,P002,WP-038,CA-P002-08,2024-01,8.8,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0078,2024-01-28,CAM-P002-01,2024-01-30,2024-02-03,Low,None,
PE-000237,P002,WP-038,CA-P002-08,2024-02,26.0,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0078,2024-02-28,CAM-P002-01,2024-03-01,2024-02-03,None,Low,
PE-000238,P002,WP-038,CA-P002-08,2024-03,32.8,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0078,2024-03-28,CAM-P002-01,2024-03-30,2024-02-03,None,None,
PE-000239,P002,WP-039,CA-P002-08,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P002-0079,2024-01-28,CAM-P002-01,2024-01-30,2024-06-08,Low,Medium,
PE-000240,P002,WP-039,CA-P002-08,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P002-0079,2024-02-28,CAM-P002-01,2024-03-01,2024-06-08,None,Medium,
PE-000241,P002,WP-039,CA-P002-08,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P002-0079,2024-03-28,CAM-P002-01,2024-03-30,2024-06-08,Medium,None,
PE-000242,P002,WP-040,CA-P002-08,2024-01,14.9,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0080,2024-01-28,CAM-P002-01,2024-01-30,2024-05-29,None,None,
PE-000243,P002,WP-040,CA-P002-08,2024-02,30.3,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0080,2024-02-28,CAM-P002-01,2024-03-01,2024-05-29,None,Medium,
PE-000244,P002,WP-040,CA-P002-08,2024-03,49.2,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0080,2024-03-28,CAM-P002-01,2024-03-30,2024-05-29,Medium,Low,
PE-000245,P003,WP-001,CA-P003-01,2024-01,13.4,confirmed,in_progress,Progress update for 2024-01,ENG-P003-0081,2024-01-28,CAM-P003-01,2024-01-30,2024-04-13,High,None,
PE-000246,P003,WP-001,CA-P003-01,2024-02,22.4,confirmed,in_progress,Progress update for 2024-02,ENG-P003-0081,2024-02-28,CAM-P003-01,2024-03-01,2024-04-13,Low,None,
PE-000247,P003,WP-001,CA-P003-01,2024-03,32.9,confirmed,in_progress,Progress update for 2024-03,ENG-P003-0081,2024-03-28,CAM-P003-01,2024-03-30,2024-04-13,None,Low,
PE-000248,P003,WP-002,CA-P003-01,2024-01,9.0,confirmed,in_progress,Progress update for 2024-01,ENG-P003-0082,2024-01-28,CAM-P003-01,2024-01-30,2024-03-17,None,None,
PE-000249,P003,WP-002,CA-P003-01,2024-02,22.1,confirmed,in_progress,Progress update for 2024-02,ENG-P003-0082,2024-02-28,CAM-P003-01,2024-03-01,2024-03-17,Medium,None,
PE-000250,P003,WP-002,CA-P003-01,2024-03,37.6,confirmed,in_progress,Progress update for 2024-03,ENG-P003-0082,2024-03-28,CAM-P003-01,2024-03-30,2024-03-17,Medium,None,
PE-000251,P003,WP-003,CA-P003-01,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P003-0083,2024-01-28,CAM-P003-01,2024-01-30,2024-07-13,Medium,Low,
PE-000252,P003,WP-003,CA-P003-01,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P003-0083,2024-02-28,CAM-P003-01,2024-03-01,2024-07-13,Low,None,
PE-000253,P003,WP-003,CA-P003-01,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P003-0083,2024-03-28,CAM-P003-01,2024-03-30,2024-07-13,None,High,
PE-000254,P003,WP-004,CA-P003-01,2024-01,0.0,confirmed,not_started,Progress update for 2024-01,ENG-P003-0084,2024-01-28,CAM-P003-01,2024-01-30,2024-05-31,Medium,High,
PE-000255,P003,WP-004,CA-P003-01,2024-02,0.0,confirmed,not_started,Progress update for 2024-02,ENG-P003-0084,2024-02-28,CAM-P003-01,2024-03-01,2024-05-31,Medium,None,
PE-000256,P003,WP-004,CA-P003-01,2024-03,0.0,confirmed,not_started,Progress update for 2024-03,ENG-P003-0084,2024-03-28,CAM-P003-01,2024-03-30,2024-05-31,Medium,None,
PE-000257,P003,WP-005,CA-P003-01,2024-01,16.8,confirmed,in_progress,Progress update for 2024-01,ENG-P003-0085,2024-01-28,CAM-P003-01,2024-01-30,2024-02-17,None,None,
PE-000258,P003,WP-005,CA-P003-01,2024-02,35.4,confirmed,in_progress,Progress update for 2024-02,ENG-P003-0085,2024-02-28,CAM-P003-01,2024-03-01,2024-02-17,Medium,Low,
PE-000259,P003,WP-005,CA-P003-01,2024-03,45.6,confirmed,in_progress,Progress update for 2024-03,ENG-P003-0085,2024-03-28,CAM-P003-01,2024-03-30,2024-02-17,None,High,
PE-000260,P003,WP-006,CA-P003-02,2024-01,11.6,confirmed,in_progress,Progress update for 2024-01,ENG-P003-0086,2024-01-28,CAM-P003-01,2024-01-30,2024-06-04,None,Low,
PE-000261,P003,WP-006,CA-P003-02,2024-02,25.3,confirmed,in_progress,Progress update for 2024-02,ENG-P003-0086,2024-02-28,CAM-P003-01,2024-03-01,2024-06-04,Low,None,
PE-000262,P003,WP-006,CA-P003-02,2024-03,28.8,preliminary,in_progress,Preliminary progress update for 2024-03,ENG-P003-0086,2024-03-23,,,2024-06-04,High,Low,Preliminary estimate pending field verification
PE-000263,P003,WP-006,CA-P003-02,2024-03,42.9,confirmed,in_progress,Progress update for 2024-03,ENG-P003-0086,2024-03-28,CAM-P003-01,2024-03-30,2024-06-04,None,Low,
PE-000264,P003,WP-007,CA-P003-02,2024-01,0.0,confirmed,not_started,Progress update for 2024-01,ENG-P003-0087,2024-01-28,CAM-P003-01,2024-01-30,2024-05-03,Medium,Low,
PE-000265,P003,WP-007,CA-P003-02,2024-02,0.0,confirmed,not_started,Progress update for 2024-02,ENG-P003-0087,2024-02-28,CAM-P003-01,2024-03-01,2024-05-03,Low,Low,
PE-000266,P003,WP-007,CA-P003-02,2024-03,0.0,confirmed,not_started,Progress update for 2024-03,ENG-P003-0087,2024-03-28,CAM-P003-01,2024-03-30,2024-05-03,Low,Low,
PE-000267,P003,WP-008,CA-P003-02,2024-01,8.1,confirmed,in_progress,Progress update for 2024-01,ENG-P003-0088,2024-01-28,CAM-P003-01,2024-01-30,2024-03-31,None,Low,
PE-000268,P003,WP-008,CA-P003-02,2024-02,16.2,confirmed,in_progress,Progress update for 2024-02,ENG-P003-0088,2024-02-28,CAM-P003-01,2024-03-01,2024-03-31,Medium,Low,
PE-000269,P003,WP-008,CA-P003-02,2024-03,24.0,confirmed,in_progress,Progress update for 2024-03,ENG-P003-0088,2024-03-28,CAM-P003-01,2024-03-30,2024-03-31,Medium,Low,
PE-000270,P003,WP-009,CA-P003-02,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P003-0089,2024-01-28,CAM-P003-01,2024-01-30,2023-12-22,Medium,None,
PE-000271,P003,WP-009,CA-P003-02,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P003-0089,2024-02-28,CAM-P003-01,2024-03-01,2023-12-22,Medium,None,
PE-000272,P003,WP-009,CA-P003-02,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P003-0089,2024-03-28,CAM-P003-01,2024-03-30,2023-12-22,Low,None,
PE-000273,P003,WP-010,CA-P003-02,2024-01,14.7,confirmed,in_progress,Progress update for 2024-01,ENG-P003-0090,2024-01-28,CAM-P003-01,2024-01-30,2024-07-24,Low,Low,
PE-000274,P003,WP-010,CA-P003-02,2024-02,29.6,confirmed,in_progress,Progress update for 2024-02,ENG-P003-0090,2024-02-28,CAM-P003-01,2024-03-01,2024-07-24,Medium,Low,
PE-000275,P003,WP-010,CA-P003-02,2024-03,39.5,confirmed,in_progress,Progress update for 2024-03,ENG-P003-0090,2024-03-28,CAM-P003-01,2024-03-30,2024-07-24,High,Low,
PE-000276,P003,WP-011,CA-P003-03,2024-01,19.8,confirmed,in_progress,Progress update for 2024-01,ENG-P003-0091,2024-01-28,CAM-P003-01,2024-01-30,2024-05-13,High,Medium,
PE-000277,P003,WP-011,CA-P003-03,2024-02,38.4,confirmed,in_progress,Progress update for 2024-02,ENG-P003-0091,2024-02-28,CAM-P003-01,2024-03-01,2024-05-13,Low,None,
PE-000278,P003,WP-011,CA-P003-03,2024-03,39.3,preliminary,in_progress,Preliminary progress update for 2024-03,ENG-P003-0091,2024-03-23,,,2024-05-13,Low,Medium,Preliminary estimate pending field verification
PE-000279,P003,WP-011,CA-P003-03,2024-03,52.0,confirmed,in_progress,Progress update for 2024-03,ENG-P003-0091,2024-03-28,CAM-P003-01,2024-03-30,2024-05-13,None,None,
PE-000280,P003,WP-012,CA-P003-03,2024-01,12.6,confirmed,in_progress,Progress update for 2024-01,ENG-P003-0092,2024-01-28,CAM-P003-01,2024-01-30,2024-04-17,None,None,
PE-000281,P003,WP-012,CA-P003-03,2024-02,22.7,confirmed,in_progress,Progress update for 2024-02,ENG-P003-0092,2024-02-28,CAM-P003-01,2024-03-01,2024-04-17,Medium,None,
PE-000282,P003,WP-012,CA-P003-03,2024-03,29.4,confirmed,in_progress,Progress update for 2024-03,ENG-P003-0092,2024-03-28,CAM-P003-01,2024-03-30,2024-04-17,None,None,
PE-000283,P003,WP-013,CA-P003-03,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P003-0093,2024-01-28,CAM-P003-01,2024-01-30,2024-03-30,None,Low,
